AISTAP low-rank baseline
Root: C:\Users\刘子轩\Desktop\第三批3
ks: 1,3,5,10,20

- simMed: clutter_attenuation_db=2.197, target_loss_db=0.925
- simMed: clutter_attenuation_db=5.494, target_loss_db=2.480
- simMed: clutter_attenuation_db=7.226, target_loss_db=3.715
- simMed: clutter_attenuation_db=9.009, target_loss_db=7.471
- simMed: clutter_attenuation_db=11.268, target_loss_db=13.906
- simNoiseOnly: clutter_attenuation_db=0.062, target_loss_db=0.925
- simNoiseOnly: clutter_attenuation_db=0.176, target_loss_db=2.480
- simNoiseOnly: clutter_attenuation_db=0.280, target_loss_db=3.715
- simNoiseOnly: clutter_attenuation_db=0.534, target_loss_db=7.471
- simNoiseOnly: clutter_attenuation_db=1.022, target_loss_db=13.906
- simWind: clutter_attenuation_db=2.012, target_loss_db=0.925
- simWind: clutter_attenuation_db=4.766, target_loss_db=2.480
- simWind: clutter_attenuation_db=6.098, target_loss_db=3.715
- simWind: clutter_attenuation_db=7.531, target_loss_db=7.471
- simWind: clutter_attenuation_db=9.339, target_loss_db=13.906
