asset,item_id,image_index,target_count,method,log_pfa_auc_pd,pfa_points
simMed_test.mat,simMed_test.mat#0,0,43,low_rank_residual_k30,0.5205455662202008,7
simMed_test.mat,simMed_test.mat#0,0,43,raw,0.17416548899351314,7
simMed_test.mat,simMed_test.mat#0,0,43,tpsscs_finished_detector,0.5438013801736892,7
simMed_test.mat,simMed_test.mat#0,0,43,tpsscs_trainable_gate,0.5037244469061014,7
simMed_test.mat,simMed_test.mat#100,100,53,low_rank_residual_k30,0.4953759230742616,7
simMed_test.mat,simMed_test.mat#100,100,53,raw,0.27666809324178326,7
simMed_test.mat,simMed_test.mat#100,100,53,tpsscs_finished_detector,0.5454026055235656,7
simMed_test.mat,simMed_test.mat#100,100,53,tpsscs_trainable_gate,0.5065980496020636,7
simMed_test.mat,simMed_test.mat#101,101,51,low_rank_residual_k30,0.4640740679488067,7
simMed_test.mat,simMed_test.mat#101,101,51,raw,0.41787383111324444,7
simMed_test.mat,simMed_test.mat#101,101,51,tpsscs_finished_detector,0.48991879023272383,7
simMed_test.mat,simMed_test.mat#101,101,51,tpsscs_trainable_gate,0.5554278016397849,7
simMed_test.mat,simMed_test.mat#102,102,39,low_rank_residual_k30,0.4667061585627797,7
simMed_test.mat,simMed_test.mat#102,102,39,raw,0.2884757794708009,7
simMed_test.mat,simMed_test.mat#102,102,39,tpsscs_finished_detector,0.5110890913559349,7
simMed_test.mat,simMed_test.mat#102,102,39,tpsscs_trainable_gate,0.4665106137313238,7
simMed_test.mat,simMed_test.mat#104,104,25,low_rank_residual_k30,0.44562120786136705,7
simMed_test.mat,simMed_test.mat#104,104,25,raw,0.3612201997482847,7
simMed_test.mat,simMed_test.mat#104,104,25,tpsscs_finished_detector,0.6354686828928315,7
simMed_test.mat,simMed_test.mat#104,104,25,tpsscs_trainable_gate,0.6230504993707117,7
simMed_test.mat,simMed_test.mat#105,105,26,low_rank_residual_k30,0.5316326676944001,7
simMed_test.mat,simMed_test.mat#105,105,26,raw,0.2804593987056648,7
simMed_test.mat,simMed_test.mat#105,105,26,tpsscs_finished_detector,0.6052039577887569,7
simMed_test.mat,simMed_test.mat#105,105,26,tpsscs_trainable_gate,0.5868531402995391,7
simMed_test.mat,simMed_test.mat#107,107,49,low_rank_residual_k30,0.43508554357555607,7
simMed_test.mat,simMed_test.mat#107,107,49,raw,0.3803524994220821,7
simMed_test.mat,simMed_test.mat#107,107,49,tpsscs_finished_detector,0.46538651302752426,7
simMed_test.mat,simMed_test.mat#107,107,49,tpsscs_trainable_gate,0.4776803692397749,7
simMed_test.mat,simMed_test.mat#108,108,25,low_rank_residual_k30,0.5395646410688427,7
simMed_test.mat,simMed_test.mat#108,108,25,raw,0.20152524968535582,7
simMed_test.mat,simMed_test.mat#108,108,25,tpsscs_finished_detector,0.572592924465105,7
simMed_test.mat,simMed_test.mat#108,108,25,tpsscs_trainable_gate,0.5065363576725807,7
simMed_test.mat,simMed_test.mat#11,11,58,low_rank_residual_k30,0.4857828226519986,7
simMed_test.mat,simMed_test.mat#11,11,58,raw,0.24485414110255876,7
simMed_test.mat,simMed_test.mat#11,11,58,tpsscs_finished_detector,0.5187630561425723,7
simMed_test.mat,simMed_test.mat#11,11,58,tpsscs_trainable_gate,0.5439115222290197,7
simMed_test.mat,simMed_test.mat#110,110,63,low_rank_residual_k30,0.4425428828986742,7
simMed_test.mat,simMed_test.mat#110,110,63,raw,0.3036451781469086,7
simMed_test.mat,simMed_test.mat#110,110,63,tpsscs_finished_detector,0.5006228895374026,7
simMed_test.mat,simMed_test.mat#110,110,63,tpsscs_trainable_gate,0.48372975124746004,7
simMed_test.mat,simMed_test.mat#111,111,43,low_rank_residual_k30,0.42883955375135435,7
simMed_test.mat,simMed_test.mat#111,111,43,raw,0.20385599758639053,7
simMed_test.mat,simMed_test.mat#111,111,43,tpsscs_finished_detector,0.42883955375135435,7
simMed_test.mat,simMed_test.mat#111,111,43,tpsscs_trainable_gate,0.37493069708903404,7
simMed_test.mat,simMed_test.mat#112,112,47,low_rank_residual_k30,0.5030829514916767,7
simMed_test.mat,simMed_test.mat#112,112,47,raw,0.21487534530953467,7
simMed_test.mat,simMed_test.mat#112,112,47,tpsscs_finished_detector,0.5243595472363576,7
simMed_test.mat,simMed_test.mat#112,112,47,tpsscs_trainable_gate,0.5179163910740976,7
simMed_test.mat,simMed_test.mat#113,113,14,low_rank_residual_k30,0.26921897293335334,7
simMed_test.mat,simMed_test.mat#113,113,14,raw,0.34741702336003205,7
simMed_test.mat,simMed_test.mat#113,113,14,tpsscs_finished_detector,0.41207611579049624,7
simMed_test.mat,simMed_test.mat#113,113,14,tpsscs_trainable_gate,0.6279960261676633,7
simMed_test.mat,simMed_test.mat#114,114,36,low_rank_residual_k30,0.5887198315422676,7
simMed_test.mat,simMed_test.mat#114,114,36,raw,0.2798961801185498,7
simMed_test.mat,simMed_test.mat#114,114,36,tpsscs_finished_detector,0.6068146695926316,7
simMed_test.mat,simMed_test.mat#114,114,36,tpsscs_trainable_gate,0.5470531648756009,7
simMed_test.mat,simMed_test.mat#115,115,22,low_rank_residual_k30,0.32060835177215696,7
simMed_test.mat,simMed_test.mat#115,115,22,raw,0.2217768556315458,7
simMed_test.mat,simMed_test.mat#115,115,22,tpsscs_finished_detector,0.32060835177215696,7
simMed_test.mat,simMed_test.mat#115,115,22,tpsscs_trainable_gate,0.37759985741822016,7
simMed_test.mat,simMed_test.mat#116,116,27,low_rank_residual_k30,0.49132621837832574,7
simMed_test.mat,simMed_test.mat#116,116,27,raw,0.12164141177483352,7
simMed_test.mat,simMed_test.mat#116,116,27,tpsscs_finished_detector,0.5066170903210396,7
simMed_test.mat,simMed_test.mat#116,116,27,tpsscs_trainable_gate,0.4634072137778298,7
simMed_test.mat,simMed_test.mat#117,117,56,low_rank_residual_k30,0.44218839591719,7
simMed_test.mat,simMed_test.mat#117,117,56,raw,0.30859036416193486,7
simMed_test.mat,simMed_test.mat#117,117,56,tpsscs_finished_detector,0.45551316155623667,7
simMed_test.mat,simMed_test.mat#117,117,56,tpsscs_trainable_gate,0.5201140803286266,7
simMed_test.mat,simMed_test.mat#118,118,57,low_rank_residual_k30,0.4402786579771223,7
simMed_test.mat,simMed_test.mat#118,118,57,raw,0.23911660040798668,7
simMed_test.mat,simMed_test.mat#118,118,57,tpsscs_finished_detector,0.4504456791897529,7
simMed_test.mat,simMed_test.mat#118,118,57,tpsscs_trainable_gate,0.4596189905104606,7
simMed_test.mat,simMed_test.mat#12,12,57,low_rank_residual_k30,0.4168868451116252,7
simMed_test.mat,simMed_test.mat#12,12,57,raw,0.346176231186939,7
simMed_test.mat,simMed_test.mat#12,12,57,tpsscs_finished_detector,0.4734361105591037,7
simMed_test.mat,simMed_test.mat#12,12,57,tpsscs_trainable_gate,0.4853996046559499,7
simMed_test.mat,simMed_test.mat#121,121,37,low_rank_residual_k30,0.5075962268396853,7
simMed_test.mat,simMed_test.mat#121,121,37,raw,0.24530439146669705,7
simMed_test.mat,simMed_test.mat#121,121,37,tpsscs_finished_detector,0.5346232538667123,7
simMed_test.mat,simMed_test.mat#121,121,37,tpsscs_trainable_gate,0.5442506073427574,7
simMed_test.mat,simMed_test.mat#122,122,15,low_rank_residual_k30,0.3575892218026966,7
simMed_test.mat,simMed_test.mat#122,122,15,raw,0.3580976383644819,7
simMed_test.mat,simMed_test.mat#122,122,15,tpsscs_finished_detector,0.4242558884693633,7
simMed_test.mat,simMed_test.mat#122,122,15,tpsscs_trainable_gate,0.4580976383644819,7
simMed_test.mat,simMed_test.mat#123,123,42,low_rank_residual_k30,0.5072366461511593,7
simMed_test.mat,simMed_test.mat#123,123,42,raw,0.1664075244457397,7
simMed_test.mat,simMed_test.mat#123,123,42,tpsscs_finished_detector,0.5488125241460786,7
simMed_test.mat,simMed_test.mat#123,123,42,tpsscs_trainable_gate,0.5195045627429107,7
simMed_test.mat,simMed_test.mat#124,124,25,low_rank_residual_k30,0.39228787452803376,7
simMed_test.mat,simMed_test.mat#124,124,25,raw,0.3853161579242959,7
simMed_test.mat,simMed_test.mat#124,124,25,tpsscs_finished_detector,0.39228787452803376,7
simMed_test.mat,simMed_test.mat#124,124,25,tpsscs_trainable_gate,0.49607878276697387,7
simMed_test.mat,simMed_test.mat#125,125,59,low_rank_residual_k30,0.46624978046015686,7
simMed_test.mat,simMed_test.mat#125,125,59,raw,0.37007532427213236,7
simMed_test.mat,simMed_test.mat#125,125,59,tpsscs_finished_detector,0.516709462743541,7
simMed_test.mat,simMed_test.mat#125,125,59,tpsscs_trainable_gate,0.5100997204185759,7
simMed_test.mat,simMed_test.mat#126,126,26,low_rank_residual_k30,0.4608265299343957,7
simMed_test.mat,simMed_test.mat#126,126,26,raw,0.31921425441438706,7
simMed_test.mat,simMed_test.mat#126,126,26,tpsscs_finished_detector,0.5182255203795196,7
simMed_test.mat,simMed_test.mat#126,126,26,tpsscs_trainable_gate,0.5026398552246544,7
simMed_test.mat,simMed_test.mat#127,127,33,low_rank_residual_k30,0.48521196278792145,7
simMed_test.mat,simMed_test.mat#127,127,33,raw,0.3938406750044802,7
simMed_test.mat,simMed_test.mat#127,127,33,tpsscs_finished_detector,0.6061929855628675,7
simMed_test.mat,simMed_test.mat#127,127,33,tpsscs_trainable_gate,0.6092959841810578,7
simMed_test.mat,simMed_test.mat#13,13,17,low_rank_residual_k30,0.5069206736031671,7
simMed_test.mat,simMed_test.mat#13,13,17,raw,0.2174806859043402,7
simMed_test.mat,simMed_test.mat#13,13,17,tpsscs_finished_detector,0.6096375486494382,7
simMed_test.mat,simMed_test.mat#13,13,17,tpsscs_trainable_gate,0.6203386759153339,7
simMed_test.mat,simMed_test.mat#14,14,30,low_rank_residual_k30,0.5144158187627154,7
simMed_test.mat,simMed_test.mat#14,14,30,raw,0.34382743705425406,7
simMed_test.mat,simMed_test.mat#14,14,30,tpsscs_finished_detector,0.5914309716978152,7
simMed_test.mat,simMed_test.mat#14,14,30,tpsscs_trainable_gate,0.5358754161422598,7
simMed_test.mat,simMed_test.mat#15,15,43,low_rank_residual_k30,0.4875111524788041,7
simMed_test.mat,simMed_test.mat#15,15,43,raw,0.2693927612254551,7
simMed_test.mat,simMed_test.mat#15,15,43,tpsscs_finished_detector,0.5067136428254682,7
simMed_test.mat,simMed_test.mat#15,15,43,tpsscs_trainable_gate,0.5090950138580328,7
simMed_test.mat,simMed_test.mat#16,16,23,low_rank_residual_k30,0.414369782335092,7
simMed_test.mat,simMed_test.mat#16,16,23,raw,0.4371036408255415,7
simMed_test.mat,simMed_test.mat#16,16,23,tpsscs_finished_detector,0.5013263040742225,7
simMed_test.mat,simMed_test.mat#16,16,23,tpsscs_trainable_gate,0.6192577891710633,7
simMed_test.mat,simMed_test.mat#17,17,29,low_rank_residual_k30,0.372398986716347,7
simMed_test.mat,simMed_test.mat#17,17,29,raw,0.36744078253061146,7
simMed_test.mat,simMed_test.mat#17,17,29,tpsscs_finished_detector,0.4758472625784161,7
simMed_test.mat,simMed_test.mat#17,17,29,tpsscs_trainable_gate,0.4971455884837208,7
simMed_test.mat,simMed_test.mat#18,18,52,low_rank_residual_k30,0.4681167380862035,7
simMed_test.mat,simMed_test.mat#18,18,52,raw,0.3755239859395185,7
