calibration_mode,residual_safety_factor,gate_margin_scale,combined_pfa_calibrated,asset_pfa_calibrated,all_methods_combined_pfa_calibrated,combined_wins_vs_raw,combined_wins_vs_lowrank,asset_wins_vs_raw,asset_wins_vs_lowrank,combined_points,asset_points,min_combined_delta_vs_raw,min_combined_delta_vs_lowrank,max_combined_tpsscs_pfa_ratio,max_asset_tpsscs_pfa_ratio,strict_pass
same_asset_target_free_conservative,1000.0,256.0,False,False,False,7,7,14,14,7,14,0.4539533489611222,0.08138335548148157,55.37920163980702,63.028581929034914,False
same_asset_target_free_conservative,100.0,256.0,False,False,False,7,7,14,14,7,14,0.4539533489611222,0.06493968709021869,55.37920163980702,63.028581929034914,False
cross_asset_target_free_conservative,1000.0,256.0,False,False,False,7,7,14,14,7,14,0.4551783942507329,0.08317267552380658,55.982692651223985,62.18520737624058,False
cross_asset_target_free_conservative,100.0,256.0,False,False,False,7,7,14,14,7,14,0.4551783942507329,0.06661554771585643,55.982692651223985,62.18520737624058,False
same_asset_target_free_conservative,10.0,256.0,False,False,False,7,7,14,14,7,14,0.42075130046761355,0.04973747803570283,56.40445431335037,64.74459192688091,False
cross_asset_target_free_conservative,10.0,256.0,False,False,False,7,7,14,14,7,14,0.4263513840820186,0.051573248979342456,56.957035191837896,63.799413541687926,False
same_asset_target_free_conservative,1000.0,64.0,False,False,False,7,7,14,14,7,14,0.48326836113377875,0.10455186241090486,57.63317730593666,64.52637994959458,False
same_asset_target_free_conservative,100.0,64.0,False,False,False,7,7,14,14,7,14,0.48326836113377875,0.08319696101401897,57.63317730593666,64.52637994959458,False
cross_asset_target_free_conservative,1000.0,64.0,False,False,False,7,7,14,14,7,14,0.4869168758837772,0.10825736791706875,58.258501101269246,63.71210771487813,False
cross_asset_target_free_conservative,100.0,64.0,False,False,False,7,7,14,14,7,14,0.4869168758837772,0.08596313070140438,58.258501101269246,63.71210771487813,False
same_asset_target_free_conservative,10.0,64.0,False,False,False,7,7,14,14,7,14,0.4342272598005432,0.0632134373686325,58.6366203945596,66.2133107228278,False
same_asset_target_free_conservative,1000.0,16.0,False,False,False,7,7,14,14,7,14,0.4914189448684399,0.11017456151462146,58.64380932575752,65.07898647461684,False
same_asset_target_free_conservative,100.0,16.0,False,False,False,7,7,14,14,7,14,0.4894349896457322,0.08780192545842747,58.64380932575752,65.07898647461684,False
same_asset_target_free_conservative,1000.0,4.0,False,False,False,7,7,14,14,7,14,0.4951008255498413,0.11280917865334483,58.89828546325305,65.22438770773024,False
same_asset_target_free_conservative,100.0,4.0,False,False,False,7,7,14,14,7,14,0.49121282266384547,0.08957975847654076,58.89828546325305,65.22438770773024,False
same_asset_target_free_conservative,1000.0,0.0,False,False,False,7,7,14,14,7,14,0.49561125826799673,0.11322242964166551,58.93463810321673,65.2680104314558,False
same_asset_target_free_conservative,1000.0,0.25,False,False,False,7,7,14,14,7,14,0.49561125826799673,0.11322242964166551,58.93463810321673,65.2680104314558,False
same_asset_target_free_conservative,1000.0,1.0,False,False,False,7,7,14,14,7,14,0.49550773859925973,0.1131189099729284,58.93463810321673,65.2680104314558,False
same_asset_target_free_conservative,100.0,0.0,False,False,False,7,7,14,14,7,14,0.49121282266384547,0.08957975847654076,58.93463810321673,65.2680104314558,False
same_asset_target_free_conservative,100.0,0.25,False,False,False,7,7,14,14,7,14,0.49121282266384547,0.08957975847654076,58.93463810321673,65.2680104314558,False
same_asset_target_free_conservative,100.0,1.0,False,False,False,7,7,14,14,7,14,0.49121282266384547,0.08957975847654076,58.93463810321673,65.2680104314558,False
cross_asset_target_free_conservative,1000.0,16.0,False,False,False,7,7,14,14,7,14,0.49406897391733107,0.11372560781368424,59.20368038734485,64.23559171749683,False
cross_asset_target_free_conservative,100.0,16.0,False,False,False,7,7,14,14,7,14,0.49179292054186363,0.09071499500322477,59.20368038734485,64.23559171749683,False
cross_asset_target_free_conservative,10.0,64.0,False,False,False,7,7,14,14,7,14,0.4410429351823321,0.06626480007965596,59.20375831143171,65.28268494071159,False
cross_asset_target_free_conservative,1000.0,4.0,False,False,False,7,7,14,14,7,14,0.4958719974368999,0.11440608442137923,59.487223428315055,64.39554311006749,False
cross_asset_target_free_conservative,100.0,4.0,False,False,False,7,7,14,14,7,14,0.49196700147367145,0.09088907593503259,59.487223428315055,64.39554311006749,False
cross_asset_target_free_conservative,1000.0,1.0,False,False,False,7,7,14,14,7,14,0.4963869240021159,0.11465818526171534,59.55993692156567,64.45372109984301,False
cross_asset_target_free_conservative,100.0,1.0,False,False,False,7,7,14,14,7,14,0.4921257316324016,0.09104780609376273,59.55993692156567,64.45372109984301,False
cross_asset_target_free_conservative,1000.0,0.0,False,False,False,7,7,14,14,7,14,0.49666703604693385,0.11493829730653315,59.56720955892217,64.45372109984301,False
cross_asset_target_free_conservative,1000.0,0.25,False,False,False,7,7,14,14,7,14,0.49666703604693385,0.11493829730653315,59.56720955892217,64.45372109984301,False
cross_asset_target_free_conservative,100.0,0.0,False,False,False,7,7,14,14,7,14,0.4924058436772195,0.09132791813858065,59.56720955892217,64.45372109984301,False
cross_asset_target_free_conservative,100.0,0.25,False,False,False,7,7,14,14,7,14,0.4924058436772195,0.09132791813858065,59.56720955892217,64.45372109984301,False
