calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
cross_asset_target_free_conservative,1000.0,256.0,combined,1e-05,210,0.5187141467194838,0.06353575246875087,0.41846706759468344,0.4551783942507329,0.10024707912480035,0.0005598269265122399,9.961161586477536e-06,0.0005251444269687086,7699,13754674,1.0600000000000002e-05,False,True,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,3e-05,210,0.5187141467194838,0.06353575246875087,0.41846706759468344,0.4551783942507329,0.10024707912480035,0.0005598269265122399,9.961161586477536e-06,0.0005251444269687086,7699,13754674,3.16e-05,False,True,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0001,210,0.5187141467194838,0.06353575246875087,0.41846706759468344,0.4551783942507329,0.10024707912480035,0.0005598269265122399,9.961161586477536e-06,0.0005251444269687086,7699,13754674,0.00010510000000000001,False,True,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0003,210,0.5187141467194838,0.06353575246875087,0.41846706759468344,0.4551783942507329,0.10024707912480035,0.0005598269265122399,9.961161586477536e-06,0.0005251444269687086,7699,13754674,0.00031509999999999996,False,True,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,0.001,210,0.5214081708928514,0.0656630799637862,0.42205691892953273,0.45574509092906523,0.09935125196331868,0.000569570351918379,1.0979082111795175e-05,0.0005350332784699751,7833,13754674,0.0010501000000000002,True,True,True,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,0.003,210,0.5471509460917753,0.08240637261303958,0.4546006982513275,0.4647445734787357,0.0925502478404478,0.0006586445504439274,1.606880909289988e-05,0.0006263615948425524,9058,13754674,0.0031501,True,True,True,True,True
cross_asset_target_free_conservative,1000.0,256.0,combined,0.01,210,0.5965039094793286,0.12220554283184845,0.513331233955522,0.47429836664748015,0.08317267552380658,0.0008690750167958427,4.544282647510391e-05,0.0008391188176972804,11952,13754674,0.0105001,True,True,True,True,True
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,1e-05,105,0.5010828359414523,0.07447260513022674,0.382876722927808,0.42661023081122557,0.11820611301364431,0.0004978017792620741,1.410569662319166e-05,0.0004559209719533609,3423,6877337,1.0600000000000002e-05,False,False,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,3e-05,105,0.5010828359414523,0.07447260513022674,0.382876722927808,0.42661023081122557,0.11820611301364431,0.0004978017792620741,1.410569662319166e-05,0.0004559209719533609,3423,6877337,3.16e-05,False,True,False,True,True
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0001,105,0.5010828359414523,0.07447260513022674,0.382876722927808,0.42661023081122557,0.11820611301364431,0.0004978017792620741,1.410569662319166e-05,0.0004559209719533609,3423,6877337,0.00010510000000000001,False,True,False,True,True
