calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,method,pd_mean,empirical_pfa_mean,empirical_pfa_max,false_alarms_total,background_count_total,n_items
cross_asset_target_free_conservative,1000.0,256.0,combined,1e-05,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,1e-05,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,1e-05,tpsscs_finished_detector,0.5187141467194838,0.0005598269265122399,0.0031462390225276823,7699,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,3e-05,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,3e-05,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,3e-05,tpsscs_finished_detector,0.5187141467194838,0.0005598269265122399,0.0031462390225276823,7699,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0001,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0001,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0001,tpsscs_finished_detector,0.5187141467194838,0.0005598269265122399,0.0031462390225276823,7699,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0003,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0003,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.0003,tpsscs_finished_detector,0.5187141467194838,0.0005598269265122399,0.0031462390225276823,7699,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.001,low_rank_residual_k30,0.42205691892953273,0.0005350332784699751,0.003161512027491409,7358,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.001,raw,0.0656630799637862,1.0979082111795175e-05,0.00012212062464699507,151,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.001,tpsscs_finished_detector,0.5214081708928514,0.000569570351918379,0.003222210344669609,7833,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.003,low_rank_residual_k30,0.4546006982513275,0.0006263615948425524,0.00352763312615488,8614,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.003,raw,0.08240637261303958,1.606880909289988e-05,0.00021378615276547658,221,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.003,tpsscs_finished_detector,0.5471509460917753,0.0006586445504439274,0.003588717682451934,9058,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.01,low_rank_residual_k30,0.513331233955522,0.0008391188176972804,0.005222490303270928,11540,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.01,raw,0.12220554283184845,4.544282647510391e-05,0.0004428427450142015,625,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,combined,0.01,tpsscs_finished_detector,0.5965039094793286,0.0008690750167958427,0.005268301621720673,11952,13754674,210
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,1e-05,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,1e-05,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,1e-05,tpsscs_finished_detector,0.5010828359414523,0.0004978017792620741,0.0026877204770703847,3423,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,3e-05,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,3e-05,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,3e-05,tpsscs_finished_detector,0.5010828359414523,0.0004978017792620741,0.0026877204770703847,3423,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0001,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0001,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0001,tpsscs_finished_detector,0.5010828359414523,0.0004978017792620741,0.0026877204770703847,3423,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0003,low_rank_residual_k30,0.382876722927808,0.0004559209719533609,0.0026266359207733304,3135,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0003,raw,0.07447260513022674,1.410569662319166e-05,9.162263689948997e-05,97,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0003,tpsscs_finished_detector,0.5010828359414523,0.0004978017792620741,0.0026877204770703847,3423,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.001,low_rank_residual_k30,0.384244731368935,0.0004592657611111655,0.002641907059847594,3158,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.001,raw,0.07833043472347202,1.614153767382694e-05,0.00012212062464699507,111,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.001,tpsscs_finished_detector,0.5021053728606372,0.0005011465684198787,0.0027029916161446484,3446,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.003,low_rank_residual_k30,0.42597086160014863,0.0005673178858308256,0.003222210344669609,3901,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.003,raw,0.08800732803513589,2.0940416872995162e-05,0.00021378615276547658,144,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.003,tpsscs_finished_detector,0.5338622719891813,0.000605999314530701,0.0032832949009666632,4167,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.01,low_rank_residual_k30,0.48910183717549605,0.0007757120073590253,0.004153749828199685,5334,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.01,raw,0.13754819506410546,6.514651216398344e-05,0.0004428427450142015,448,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.01,tpsscs_finished_detector,0.5857742763320299,0.0008123575817033311,0.00421483438449674,5586,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,1e-05,low_rank_residual_k30,0.4540574122615589,0.0005943678819840563,0.0031004200076365025,4087,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,1e-05,raw,0.052598899807274994,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,1e-05,tpsscs_finished_detector,0.5363454574975154,0.0006218520737624058,0.0031462390225276823,4276,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,3e-05,low_rank_residual_k30,0.4540574122615589,0.0005943678819840563,0.0031004200076365025,4087,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,3e-05,raw,0.052598899807274994,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,3e-05,tpsscs_finished_detector,0.5363454574975154,0.0006218520737624058,0.0031462390225276823,4276,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0001,low_rank_residual_k30,0.4540574122615589,0.0005943678819840563,0.0031004200076365025,4087,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0001,raw,0.052598899807274994,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0001,tpsscs_finished_detector,0.5363454574975154,0.0006218520737624058,0.0031462390225276823,4276,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0003,low_rank_residual_k30,0.4540574122615589,0.0005943678819840563,0.0031004200076365025,4087,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0003,raw,0.052598899807274994,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.0003,tpsscs_finished_detector,0.5363454574975154,0.0006218520737624058,0.0031462390225276823,4276,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.001,low_rank_residual_k30,0.45986910649013046,0.0006108007958287846,0.003161512027491409,4200,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.001,raw,0.05299572520410039,5.816626549763409e-06,3.054694301467781e-05,40,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.001,tpsscs_finished_detector,0.5407109689250655,0.0006379941354168793,0.003222210344669609,4387,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.003,low_rank_residual_k30,0.48323053490250634,0.0006854053038542792,0.00352763312615488,4713,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.003,raw,0.07680541719094329,1.1197201312804595e-05,6.109015379446218e-05,77,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.003,tpsscs_finished_detector,0.5604396201943691,0.0007112897863571539,0.003588717682451934,4891,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,low_rank_residual_k30,0.537560630735548,0.0009025256280355355,0.005222490303270928,6206,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,raw,0.10686289059959145,2.573914078622439e-05,0.00013738570272786945,177,6877337,105
cross_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,0.01,tpsscs_finished_detector,0.6072335426266274,0.0009257924518883546,0.005268301621720673,6366,6877337,105
cross_asset_target_free_conservative,1000.0,1024.0,combined,1e-05,low_rank_residual_k30,0.41846706759468344,0.0005251444269687086,0.0031004200076365025,7222,13754674,210
cross_asset_target_free_conservative,1000.0,1024.0,combined,1e-05,raw,0.06353575246875087,9.961161586477536e-06,9.162263689948997e-05,137,13754674,210
