pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
1e-05,0.999697256557741,0.4186046511627907,0.0,43,65493,0,0,18,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995879093372279,0.5348837209302325,1.526880735345762e-05,43,65493,1,1,24,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9974387874823172,0.813953488372093,9.161284412074573e-05,43,65493,6,6,41,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9803729128483906,0.9302325581395349,0.0002901073397156948,43,65493,19,19,59,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9025402428893632,0.9534883720930233,0.0009924724779747454,43,65493,65,65,106,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7724101452236793,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.5019026919223942,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9989982100345878,0.42857142857142855,0.0,28,65508,0,0,12,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9988278111858025,0.42857142857142855,1.526531110704036e-05,28,65508,1,1,13,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9977965142804068,0.5,9.159186664224217e-05,28,65508,6,6,20,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
