pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
1e-05,0.9999994039535522,0.06976744186046512,0.0,43,65493,0,0,3,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999992847442627,0.06976744186046512,1.526880735345762e-05,43,65493,1,1,4,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9999958276748657,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9999743700027466,0.37209302325581395,0.0002901073397156948,43,65493,19,19,35,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9985113739967346,0.627906976744186,0.0009924724779747454,43,65493,65,65,92,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9806860685348511,0.8372093023255814,0.0029926862412776936,43,65493,196,196,232,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9293023943901062,0.8604651162790697,0.009985800009161284,43,65493,654,654,691,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9998897314071655,0.10714285714285714,0.0,28,65508,0,0,3,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9998723268508911,0.10714285714285714,1.526531110704036e-05,28,65508,1,1,4,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9991814494132996,0.14285714285714285,9.159186664224217e-05,28,65508,6,6,10,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9953173398971558,0.35714285714285715,0.00029004091103376685,28,65508,19,19,29,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9898698925971985,0.5357142857142857,0.0009922452219576234,28,65508,65,65,80,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9780998826026917,0.6071428571428571,0.002992000976979911,28,65508,196,196,213,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9302171468734741,0.6785714285714286,0.009998778775111437,28,65508,655,655,674,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.9999997615814209,0.1,0.0,50,65486,0,0,5,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9999996423721313,0.14,1.5270439483248328e-05,50,65486,1,1,8,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9999992847442627,0.2,9.162263689948997e-05,50,65486,6,6,16,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9999935626983643,0.34,0.0002901383501817182,50,65486,19,19,36,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9995263814926147,0.66,0.0009925785664111413,50,65486,65,65,98,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9854047894477844,0.88,0.002993006138716672,50,65486,196,196,240,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.01,0.9289991855621338,1.0,0.009986867422044406,50,65486,654,654,704,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,7,simWind_test.mat#7,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
1e-05,0.999969482421875,0.041666666666666664,0.0,24,65512,0,0,1,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
3e-05,0.9995307922363281,0.125,1.5264379045060447e-05,24,65512,1,1,4,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0001,0.9989054203033447,0.25,9.158627427036269e-05,24,65512,6,6,12,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.0003,0.9947409629821777,0.4166666666666667,0.0002900232018561485,24,65512,19,19,29,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.001,0.9877247214317322,0.5416666666666666,0.000992184637928929,24,65512,65,65,78,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
0.003,0.9742037057876587,0.6666666666666666,0.0029918182928318476,24,65512,196,196,212,loso_supervised_raw_feature_logreg_conservative_topk_strict_gt,simWind_test.mat,8,simWind_test.mat#8,loso_supervised_raw_feature_logreg,learned_raw_feature_baseline,simMed_test.mat,simWind_test.mat
