label_budget,pfa,n_pair_observations,n_items,n_seeds,mean_delta_compact_minus_low_label_hgb,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1,1e-05,630,210,3,0.10609904049072702,0.0952949362592955,0.11595988774243565,0.7904761904761904,0.807936507936508
1,3e-05,630,210,3,0.10735232589975151,0.09522069471816463,0.11962842921725005,0.7238095238095238,0.7587301587301587
1,0.0001,630,210,3,0.05025906698731871,0.03499359949653157,0.06540747350996985,0.5603174603174603,0.6158730158730159
1,0.0003,630,210,3,-0.0018030201896263092,-0.018514018753568645,0.014914684319966127,0.4174603174603175,0.4746031746031746
1,0.001,630,210,3,0.012804835012635815,-0.002747351594846704,0.02908103733089808,0.42857142857142855,0.4873015873015873
1,0.003,630,210,3,0.01067733231975743,-0.002451874020988722,0.023614937221896285,0.4253968253968254,0.5047619047619047
1,0.01,630,210,3,-0.026900100120483692,-0.03515560905388954,-0.018826330251858987,0.3111111111111111,0.43333333333333335
2,1e-05,630,210,3,0.01386244064064329,0.0028555972052473903,0.02458689419750067,0.5523809523809524,0.5698412698412698
2,3e-05,630,210,3,-0.008113332537143265,-0.019597003396322865,0.003834289624674718,0.49206349206349204,0.5285714285714286
2,0.0001,630,210,3,-0.05866467192920791,-0.06960460436846486,-0.04746050206014521,0.326984126984127,0.37936507936507935
2,0.0003,630,210,3,-0.07951914789048982,-0.08968325242772332,-0.06984518080549512,0.22698412698412698,0.30158730158730157
2,0.001,630,210,3,-0.07085437883118696,-0.0799595651885115,-0.06246983843512668,0.18095238095238095,0.29365079365079366
2,0.003,630,210,3,-0.05589975917834239,-0.06402069369190459,-0.04771039182118377,0.23809523809523808,0.33650793650793653
2,0.01,630,210,3,-0.05207987051853641,-0.05924482069975421,-0.045080362562062715,0.1761904761904762,0.30793650793650795
4,1e-05,630,210,3,-0.040008559148441925,-0.054332512576686275,-0.026045070314685493,0.4222222222222222,0.44603174603174606
4,3e-05,630,210,3,-0.0866255527810042,-0.10118643136817557,-0.07319469734244603,0.30952380952380953,0.34444444444444444
4,0.0001,630,210,3,-0.15187664697790376,-0.16651081544125787,-0.13671471970422966,0.1634920634920635,0.2015873015873016
4,0.0003,630,210,3,-0.1412244713837019,-0.15558886859472687,-0.12652567667668346,0.15714285714285714,0.1984126984126984
4,0.001,630,210,3,-0.08825865404029967,-0.1013080243579885,-0.07547318476488794,0.15396825396825398,0.24761904761904763
4,0.003,630,210,3,-0.054715086641783546,-0.06551660466001154,-0.04376501281183714,0.1761904761904762,0.273015873015873
4,0.01,630,210,3,-0.062050881630669526,-0.06881842991085212,-0.055533048418655966,0.10793650793650794,0.2253968253968254
8,1e-05,630,210,3,-0.09558147840638544,-0.10945413146512764,-0.08181750308595846,0.3126984126984127,0.3412698412698413
8,3e-05,630,210,3,-0.14878474994886584,-0.16222755368086395,-0.13446104009193915,0.1873015873015873,0.21587301587301588
8,0.0001,630,210,3,-0.22157455782350727,-0.23424894834357737,-0.20851540894910592,0.07142857142857142,0.09682539682539683
8,0.0003,630,210,3,-0.19349492999808843,-0.2060958966140747,-0.1808837061702863,0.07777777777777778,0.11904761904761904
8,0.001,630,210,3,-0.12819014554513028,-0.13762811109076403,-0.11873234417563257,0.08253968253968254,0.15714285714285714
8,0.003,630,210,3,-0.0788074241795344,-0.08675438463009756,-0.07087798762098843,0.1365079365079365,0.23174603174603176
8,0.01,630,210,3,-0.0647228123398593,-0.07205599429293985,-0.05777972586949291,0.11428571428571428,0.22857142857142856
16,1e-05,630,210,3,-0.09693090678756963,-0.11036491289930223,-0.08374159685485966,0.2904761904761905,0.33174603174603173
16,3e-05,630,210,3,-0.16399233964444465,-0.17756280336293073,-0.15044378931906646,0.13968253968253969,0.173015873015873
16,0.0001,630,210,3,-0.25816077279910504,-0.271317730539773,-0.24550234767074683,0.025396825396825397,0.044444444444444446
16,0.0003,630,210,3,-0.23034333283706898,-0.2425844769007348,-0.2184477200125511,0.03968253968253968,0.06349206349206349
16,0.001,630,210,3,-0.14452019752676612,-0.15355275479431582,-0.13611431275715352,0.03492063492063492,0.10317460317460317
16,0.003,630,210,3,-0.08710406669472656,-0.09526900508655985,-0.0799611191095478,0.09206349206349207,0.17777777777777778
16,0.01,630,210,3,-0.07155980004871347,-0.0787885083638806,-0.06466407529757934,0.08412698412698413,0.2
32,1e-05,630,210,3,-0.13793353426738297,-0.15266176474046717,-0.12270698211086763,0.2365079365079365,0.2698412698412698
32,3e-05,630,210,3,-0.1933722699323922,-0.20832280686146737,-0.17917090721284726,0.12698412698412698,0.15555555555555556
