label_budget,pfa,n_pair_observations,n_items,n_seeds,mean_delta_compact_minus_low_label_hgb,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1,1e-05,630,210,3,0.18355384081412132,0.17670379124332658,0.1898644503587677,0.9952380952380953,1.0
1,3e-05,630,210,3,0.2337330428038713,0.22659370579822907,0.2406619423656023,1.0,1.0
1,0.0001,630,210,3,0.35962393061364967,0.35164844110838556,0.3680490552226535,0.9984126984126984,0.9984126984126984
1,0.0003,630,210,3,0.47540758104001374,0.46534976338579814,0.48610348981737217,1.0,1.0
1,0.001,630,210,3,0.5566710189302283,0.5401885288922443,0.5725063189352584,0.9952380952380953,0.9952380952380953
1,0.003,630,210,3,0.4572247184047488,0.43745311863787434,0.47692875587433614,0.9841269841269841,0.9952380952380953
1,0.01,630,210,3,0.3624754940380486,0.3438775426257994,0.38094940409999645,0.9492063492063492,0.9746031746031746
2,1e-05,630,210,3,0.18284833054388305,0.17618869785787547,0.18929767952536003,0.9952380952380953,1.0
2,3e-05,630,210,3,0.23223028453328,0.22494829541685898,0.23938361968481886,0.9984126984126984,0.9984126984126984
2,0.0001,630,210,3,0.342957895318928,0.33389536980238926,0.3512291008537305,0.9936507936507937,0.9936507936507937
2,0.0003,630,210,3,0.4174342217453888,0.40587639257338015,0.42907194226032236,0.9936507936507937,0.9984126984126984
2,0.001,630,210,3,0.4277937866778757,0.41165321737976684,0.4448859343457841,0.9873015873015873,0.9968253968253968
2,0.003,630,210,3,0.38238060840996935,0.3637194890349794,0.40112864907847656,0.9650793650793651,0.9761904761904762
2,0.01,630,210,3,0.23394302961721475,0.21579001688863073,0.2519631244310047,0.8825396825396825,0.9253968253968254
4,1e-05,630,210,3,0.18153481760518012,0.17447123337385023,0.18840481022069683,0.9873015873015873,0.9936507936507937
4,3e-05,630,210,3,0.2268764214970875,0.2195698405868291,0.23437888265645013,0.9873015873015873,0.9888888888888889
4,0.0001,630,210,3,0.31721408295559045,0.3064024950256679,0.3280015536524444,0.9714285714285714,0.9793650793650793
4,0.0003,630,210,3,0.3338486047479089,0.3175932588368279,0.3496138249314496,0.9412698412698413,0.9523809523809523
4,0.001,630,210,3,0.2569870328895022,0.2362432199992447,0.27782759853606126,0.8253968253968254,0.8746031746031746
4,0.003,630,210,3,0.11563337658553695,0.10372873455713631,0.12785508223449488,0.7571428571428571,0.8238095238095238
4,0.01,630,210,3,0.024557118333738307,0.016445255170917515,0.032394406911289295,0.5793650793650794,0.6888888888888889
8,1e-05,630,210,3,0.16909702769038065,0.16141951282968317,0.1762498159826582,0.9555555555555556,0.9682539682539683
8,3e-05,630,210,3,0.2028814313018606,0.19452116316026827,0.21138930937415987,0.946031746031746,0.953968253968254
8,0.0001,630,210,3,0.23516766556637672,0.2208939992927745,0.2480317375291929,0.8873015873015873,0.9047619047619048
8,0.0003,630,210,3,0.23708741527262076,0.21961650014813705,0.2553781127705855,0.8317460317460318,0.8555555555555555
8,0.001,630,210,3,0.22294980338539144,0.2046661396284177,0.24158049523658945,0.8047619047619048,0.8523809523809524
8,0.003,630,210,3,0.1189742500208337,0.10700790298655695,0.13067454784119803,0.753968253968254,0.834920634920635
8,0.01,630,210,3,0.017138634789010575,0.009241683629207045,0.025119036570627286,0.553968253968254,0.6698412698412698
16,1e-05,630,210,3,0.1449531666919823,0.13686442683114905,0.15325169104448624,0.9,0.9031746031746032
16,3e-05,630,210,3,0.15868932569489605,0.14951940835543703,0.16808858402067783,0.8809523809523809,0.9031746031746032
