label_budget,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
1,simMed_test.mat,1e-05,0.184544890419632,0.0002962104381982678,0.18424867998143374,0.0,0.0,105,315,3,0.9904761904761905,True,True,True,1e-05
1,simMed_test.mat,3e-05,0.23292866331646772,0.001488571949254386,0.23144009136721336,1.526753812803079e-05,4.992002930348799e-06,105,315,3,1.0,True,True,True,3e-05
1,simMed_test.mat,0.0001,0.3631281887560889,0.007543662298826108,0.3555845264572628,9.160522876818475e-05,3.9307059545752926e-05,105,315,3,1.0,True,True,True,0.0001
1,simMed_test.mat,0.0003,0.5154646610355453,0.05111460374951759,0.4643500572860278,0.0002900832244325381,0.00018344935080404258,105,315,3,1.0,True,True,True,0.0003
1,simMed_test.mat,0.001,0.6957533928816516,0.1535069096720311,0.5422464832096204,0.0009923899783219553,0.0008016507246179078,105,315,3,0.9936507936507937,True,True,True,0.001
1,simMed_test.mat,0.003,0.8138666025670928,0.27359689096270784,0.540269711604385,0.0029924374730939812,0.0027308414416695763,105,315,3,0.9809523809523809,True,True,True,0.003
1,simMed_test.mat,0.01,0.8692331860864191,0.4279858847627752,0.4412473013236439,0.009992820396478945,0.009280564783146194,105,315,3,0.9396825396825397,True,True,True,0.01
1,simWind_test.mat,1e-05,0.18451921564993898,0.001660214003130117,0.18285900164680888,0.0,0.0,105,315,3,1.0,True,True,True,1e-05
1,simWind_test.mat,3e-05,0.23871466421913762,0.0026886699786083795,0.23602599424052922,1.526753812803079e-05,4.26499009789996e-06,105,315,3,1.0,True,True,True,3e-05
1,simWind_test.mat,0.0001,0.3732452108276595,0.009581876057622922,0.36366333477003654,9.160522876818475e-05,3.121377566828942e-05,105,315,3,0.9968253968253968,True,True,True,0.0001
1,simWind_test.mat,0.0003,0.5368152651851739,0.050350160391174084,0.4864651047939998,0.0002900832244325381,0.00014027067852703034,105,315,3,1.0,True,True,True,0.0003
1,simWind_test.mat,0.001,0.709979513423963,0.13888395877312704,0.5710955546508361,0.0009923899783219553,0.0005227794240927531,105,315,3,0.9968253968253968,True,True,True,0.001
1,simWind_test.mat,0.003,0.812213539733551,0.43803381452843826,0.3741797252051127,0.0029924374730939812,0.0023361657174631747,105,315,3,0.9873015873015873,True,True,True,0.003
1,simWind_test.mat,0.01,0.8663473290962685,0.5826436423438152,0.2837036867524533,0.009992820396478945,0.009428322728267288,105,315,3,0.9587301587301588,True,True,True,0.01
1,combined,0.003,0.813040071150322,0.355815352745573,0.4572247184047489,0.0029924374730939812,0.0025335035795663752,210,630,3,0.9841269841269841,True,True,True,0.003
1,combined,0.001,0.7028664531528073,0.14619543422257908,0.5566710189302283,0.0009923899783219553,0.0006622150743553304,210,630,3,0.9952380952380953,True,True,True,0.001
1,combined,1e-05,0.18453205303478548,0.0009782122206641924,0.18355384081412132,0.0,0.0,210,630,3,0.9952380952380953,True,True,True,1e-05
1,combined,0.01,0.8677902575913438,0.5053147635532952,0.36247549403804863,0.009992820396478945,0.00935444375570674,210,630,3,0.9492063492063492,True,True,True,0.01
1,combined,0.0001,0.3681866997918742,0.008562769178224515,0.35962393061364967,9.160522876818475e-05,3.526041760702117e-05,210,630,3,0.9984126984126984,True,True,True,0.0001
1,combined,0.0003,0.5261399631103596,0.05073238207034583,0.47540758104001385,0.0002900832244325381,0.00016186001466553644,210,630,3,1.0,True,True,True,0.0003
1,combined,3e-05,0.2358216637678027,0.0020886209639313824,0.2337330428038713,1.526753812803079e-05,4.628496514124379e-06,210,630,3,1.0,True,True,True,3e-05
2,simMed_test.mat,0.01,0.8692331860864191,0.5195434341995218,0.3496897518868974,0.009992820396478945,0.00976182002731544,105,315,3,0.9396825396825397,True,True,True,0.01
2,simWind_test.mat,0.003,0.812213539733551,0.5536510197772789,0.25856251995627205,0.0029924374730939812,0.002723656618722296,105,315,3,0.9396825396825397,True,True,True,0.003
2,simWind_test.mat,0.01,0.8663473290962685,0.7481510217487364,0.11819630734753211,0.009992820396478945,0.009817175029279604,105,315,3,0.8253968253968254,True,True,True,0.01
2,simMed_test.mat,0.001,0.6957533928816516,0.17274771382948126,0.5230056790521703,0.0009923899783219553,0.000843966455054099,105,315,3,0.9936507936507937,True,True,True,0.001
2,simWind_test.mat,1e-05,0.18451921564993898,0.0003205128205128205,0.18419870282942616,0.0,0.0,105,315,3,1.0,True,True,True,1e-05
2,simWind_test.mat,3e-05,0.23871466421913762,0.0007120672917636864,0.23800259692737394,1.526753812803079e-05,8.72215472820947e-07,105,315,3,1.0,True,True,True,3e-05
2,simWind_test.mat,0.0001,0.3732452108276595,0.023350042623123807,0.34989516820453564,9.160522876818475e-05,2.1662363749621143e-05,105,315,3,0.9904761904761905,True,True,True,0.0001
