asset,image_index,target_pixels,background_pixels,shape,channels,doppler_bins,range_bins,profile,seconds,milliseconds
simMed_test.mat,0,43,65493,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.13307749999512453,133.07749999512453
simMed_test.mat,0,43,65493,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6529412999807391,652.9412999807391
simMed_test.mat,0,43,65493,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.5669096999918111,566.9096999918111
simMed_test.mat,0,43,65493,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.06389479999779724,63.894799997797236
simMed_test.mat,27,59,65477,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.12734970000747126,127.34970000747126
simMed_test.mat,27,59,65477,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6083490000019083,608.3490000019083
simMed_test.mat,27,59,65477,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.5234883000084665,523.4883000084665
simMed_test.mat,27,59,65477,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.010299599991412833,10.299599991412833
simMed_test.mat,50,25,65511,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.1264316000015242,126.4316000015242
simMed_test.mat,50,25,65511,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6096338999923319,609.6338999923319
simMed_test.mat,50,25,65511,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.5280239999992773,528.0239999992773
simMed_test.mat,50,25,65511,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.011094000001321547,11.094000001321547
simMed_test.mat,76,27,65509,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.14621469999838155,146.21469999838155
simMed_test.mat,76,27,65509,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6004900999978418,600.4900999978418
simMed_test.mat,76,27,65509,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.5157714999950258,515.7714999950258
simMed_test.mat,76,27,65509,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.01150229999620933,11.50229999620933
simMed_test.mat,101,51,65485,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.13423329999204725,134.23329999204725
simMed_test.mat,101,51,65485,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6072848999901908,607.2848999901908
simMed_test.mat,101,51,65485,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.521380299993325,521.380299993325
simMed_test.mat,101,51,65485,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.010196200004429556,10.196200004429556
simMed_test.mat,127,33,65503,6x64x1024,6,64,1024,compact_tpsscs_finished_detector,0.15283809999527875,152.83809999527875
simMed_test.mat,127,33,65503,6x64x1024,6,64,1024,raw_residual_hgb_inference,0.6017034000105923,601.7034000105923
simMed_test.mat,127,33,65503,6x64x1024,6,64,1024,shared_low_rank_numpy_plus_hgb_features,0.5204802000080235,520.4802000080235
simMed_test.mat,127,33,65503,6x64x1024,6,64,1024,tpsscs_gate_head_after_low_rank,0.009862999999313615,9.862999999313615
