dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simMed,0,raw,0,1e-05,11124.174632589524,0.023255813953488372,1.526880735345762e-05,43,65493
simMed,0,raw,0,3e-05,9655.504170691933,0.046511627906976744,3.053761470691524e-05,43,65493
simMed,0,raw,0,0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493
simMed,0,raw,0,0.0003,5149.309725533863,0.11627906976744186,0.00030537614706915243,43,65493
simMed,0,raw,0,0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493
simMed,0,raw,0,0.003,2386.8852097332096,0.32558139534883723,0.0030079550486311513,43,65493
simMed,0,raw,0,0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493
simMed,0,low_rank_residual,1,1e-05,8251.133521405529,0.046511627906976744,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,1,3e-05,5910.141685497246,0.11627906976744186,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,1,0.0001,4003.014377201115,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,1,0.0003,2534.403488357843,0.32558139534883723,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,1,0.001,1780.584078351961,0.32558139534883723,0.001007741285328203,43,65493
simMed,0,low_rank_residual,1,0.003,1177.690872746242,0.4883720930232558,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,1,0.01,653.2508852372226,0.5813953488372093,0.010001068816514741,43,65493
simMed,0,low_rank_residual,2,1e-05,8240.95541527345,0.046511627906976744,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,2,3e-05,5904.90380653906,0.09302325581395349,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,2,0.0001,3980.422841136292,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,2,0.0003,1882.0197625815622,0.32558139534883723,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,2,0.001,948.5861146378601,0.5581395348837209,0.001007741285328203,43,65493
simMed,0,low_rank_residual,2,0.003,588.978652428945,0.5813953488372093,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,2,0.01,313.8218779156022,0.7674418604651163,0.010001068816514741,43,65493
simMed,0,low_rank_residual,3,1e-05,8220.36667097366,0.046511627906976744,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,3,3e-05,5905.610275567493,0.09302325581395349,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,3,0.0001,3971.418286489468,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,3,0.0003,1865.88971715641,0.32558139534883723,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,3,0.001,510.54660854272396,0.6976744186046512,0.001007741285328203,43,65493
simMed,0,low_rank_residual,3,0.003,311.5265010773765,0.7441860465116279,0.0030079550486311513,43,65493
