dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simMed,0,raw,0,0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493
simMed,0,raw,0,0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493
simMed,0,raw,0,0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,1,0.01,653.2508852372226,0.5813953488372093,0.010001068816514741,43,65493
simMed,0,low_rank_residual,1,0.001,1780.584078351961,0.32558139534883723,0.001007741285328203,43,65493
simMed,0,low_rank_residual,1,0.0001,4003.014377201115,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,3,0.01,168.4536116108804,0.8604651162790697,0.010001068816514741,43,65493
simMed,0,low_rank_residual,3,0.001,510.54660854272396,0.6976744186046512,0.001007741285328203,43,65493
simMed,0,low_rank_residual,3,0.0001,3971.418286489468,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,5,0.01,80.47429049792618,0.9767441860465116,0.010001068816514741,43,65493
simMed,0,low_rank_residual,5,0.001,363.1847015934869,0.7441860465116279,0.001007741285328203,43,65493
simMed,0,low_rank_residual,5,0.0001,3953.1533001003054,0.18604651162790697,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,10,0.01,37.833564984186815,0.9767441860465116,0.010001068816514741,43,65493
simMed,0,low_rank_residual,10,0.001,221.5962553889922,0.7441860465116279,0.001007741285328203,43,65493
simMed,0,low_rank_residual,10,0.0001,2125.7455466323904,0.23255813953488372,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,20,0.01,19.474303553385898,0.9534883720930233,0.010001068816514741,43,65493
simMed,0,low_rank_residual,20,0.001,132.16712110978668,0.7674418604651163,0.001007741285328203,43,65493
simMed,0,low_rank_residual,20,0.0001,964.2683688397875,0.3023255813953488,0.00010688165147420336,43,65493
simMed,1,raw,0,0.01,475.03656595499115,0.0,0.010009918364232854,1,65535
simMed,1,raw,0,0.001,1639.7507696062466,0.0,0.001007095445181964,1,65535
simMed,1,raw,0,0.0001,3271.523497052555,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,1,0.01,242.94064530993268,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,1,0.001,740.2267634469272,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,1,0.0001,1377.8365918635523,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,3,0.01,63.44526082851311,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,3,0.001,178.3056141241473,0.0,0.001007095445181964,1,65535
