held_out_subset,method,pfa_target,pd_mean,pd_std,pfa_mean,pfa_std,n_runs
simMed,low_rank_residual,0.0001,0.23255813953488372,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simMed,low_rank_residual,0.001,0.7674418604651163,0.0,0.0010074106817266014,3.453042001038489e-07,6
simMed,low_rank_residual,0.01,0.9534883720930233,0.0,0.010005417220757372,4.541760106228491e-06,6
simMed,raw,0.0001,0.09302325581395349,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simMed,raw,0.001,0.23255813953488372,0.0,0.0010074106817266014,3.453042001038489e-07,6
simMed,raw,0.01,0.46511627906976744,0.0,0.010005417220757372,4.541760106228491e-06,6
simMed,trainable_gate,0.0001,0.15891472868217055,0.0946562099867576,0.00010684658745585168,3.6623172738285555e-08,6
simMed,trainable_gate,0.001,0.49224806201550386,0.19973842638817166,0.0010074106817266014,3.453042001038489e-07,6
simMed,trainable_gate,0.01,0.8178294573643411,0.21687423320178303,0.010005417220757372,4.541760106228491e-06,6
simNoiseOnly,low_rank_residual,0.0001,0.44186046511627913,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simNoiseOnly,low_rank_residual,0.001,0.7441860465116279,0.0,0.0010074106817266014,3.453042001038489e-07,6
simNoiseOnly,low_rank_residual,0.01,0.8604651162790699,0.0,0.010005417220757372,4.541760106228491e-06,6
simNoiseOnly,raw,0.0001,0.20930232558139536,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simNoiseOnly,raw,0.001,0.7674418604651163,0.0,0.0010074106817266014,3.453042001038489e-07,6
simNoiseOnly,raw,0.01,0.8837209302325583,0.0,0.010005417220757372,4.541760106228491e-06,6
simNoiseOnly,trainable_gate,0.0001,0.3798449612403101,0.10365590480897226,0.00010684658745585168,3.6623172738285555e-08,6
simNoiseOnly,trainable_gate,0.001,0.7596899224806202,0.018988292579714582,0.0010074106817266014,3.453042001038489e-07,6
simNoiseOnly,trainable_gate,0.01,0.868217054263566,0.012009250685914494,0.010005417220757372,4.541760106228491e-06,6
simWind,low_rank_residual,0.0001,0.16279069767441862,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simWind,low_rank_residual,0.001,0.813953488372093,0.0,0.0010074106817266014,3.453042001038489e-07,6
simWind,low_rank_residual,0.01,0.9069767441860465,0.0,0.010005417220757372,4.541760106228491e-06,6
simWind,raw,0.0001,0.09302325581395349,0.0,0.00010684658745585168,3.6623172738285555e-08,6
simWind,raw,0.001,0.3023255813953488,0.0,0.0010074106817266014,3.453042001038489e-07,6
simWind,raw,0.01,0.5348837209302325,0.0,0.010005417220757372,4.541760106228491e-06,6
simWind,trainable_gate,0.0001,0.20930232558139536,0.09644856443408241,0.00010684658745585168,3.6623172738285555e-08,6
simWind,trainable_gate,0.001,0.6085271317829458,0.17241746078168793,0.0010074106817266014,3.453042001038489e-07,6
simWind,trainable_gate,0.01,0.8294573643410853,0.17194630242495218,0.010005417220757372,4.541760106228491e-06,6
