pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,subset,image_index,path,item_id,method,residual_threshold,gate_threshold
1e-05,12204.614443104494,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
3e-05,10554.886521334567,0.023255813953488372,1.526880735345762e-05,43,65493,1,1,2,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
0.0001,7695.695412428018,0.09302325581395349,9.161284412074573e-05,43,65493,6,6,10,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
0.0003,5192.538675695876,0.11627906976744186,0.0002901073397156948,43,65493,19,19,24,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
0.001,3608.9594223002164,0.23255813953488372,0.0009924724779747454,43,65493,65,65,75,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
0.003,2390.1337726945085,0.32558139534883723,0.0029926862412776936,43,65493,196,196,210,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
0.01,1286.6103052929573,0.46511627906976744,0.009985800009161284,43,65493,654,654,674,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,raw,,
1e-05,890.9266426032261,0.13953488372093023,0.0,43,65493,0,0,6,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
3e-05,756.4363690708126,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
0.0001,401.58019833356775,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
0.0003,168.71687561749454,0.46511627906976744,0.0002901073397156948,43,65493,19,19,39,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
0.001,70.99898805119366,0.7674418604651163,0.0009924724779747454,43,65493,65,65,98,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
0.003,25.799426673870272,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
0.01,13.510826675563372,0.9534883720930233,0.009985800009161284,43,65493,654,654,695,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,low_rank_residual_k30,,
1e-05,12193.851645259017,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
3e-05,6191.677478569506,0.09302325581395349,1.526880735345762e-05,43,65493,1,1,5,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
0.0001,2962.1608637277636,0.27906976744186046,9.161284412074573e-05,43,65493,6,6,18,conservative_topk_strict_gt,simMed,0,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,C:\Users\刘子轩\Desktop\第三批3\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat#0,tpsscs_trainable_gate,,
