pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,method,subset,path,image_index,has_target,step,split
1e-05,11124.174632589524,0.023255813953488372,1.526880735345762e-05,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
3e-05,9655.504170691933,0.046511627906976744,3.053761470691524e-05,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.0003,5149.309725533863,0.11627906976744186,0.00030537614706915243,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.003,2386.8852097332096,0.32558139534883723,0.0030079550486311513,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493,raw,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
1e-05,802.846272662242,0.13953488372093023,1.526880735345762e-05,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
3e-05,686.1564991900859,0.16279069767441862,3.053761470691524e-05,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.0001,394.85698953163865,0.23255813953488372,0.00010688165147420336,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.0003,167.6233668881951,0.46511627906976744,0.00030537614706915243,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.001,70.78746984367343,0.7674418604651163,0.001007741285328203,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.003,25.740363614672184,0.9534883720930233,0.0030079550486311513,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
0.01,13.508083448682333,0.9534883720930233,0.010001068816514741,43,65493,low_rank_residual,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
1e-05,4804.424024565655,0.023255813953488372,1.526880735345762e-05,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
3e-05,4289.778586614843,0.023255813953488372,3.053761470691524e-05,43,65493,trainable_gate,simMed,data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0,True,0,train
