level,pfa,comparator,n_units,mean_delta_pd,ci95_low,ci95_high,positive_fraction,nonnegative_fraction,negative_fraction
image,1e-05,raw,231,0.0,0.0,0.0,0.0,1.0,0.0
image,1e-05,lowrank,231,0.043640603762531295,0.02492902328761515,0.06267137895714582,0.09523809523809523,0.987012987012987,0.012987012987012988
image,3e-05,raw,231,0.0,0.0,0.0,0.0,1.0,0.0
image,3e-05,lowrank,231,0.07386816652843572,0.04706987281630769,0.1015170079108093,0.12121212121212122,0.9134199134199135,0.08658008658008658
image,0.0001,raw,231,0.0,0.0,0.0,0.0,1.0,0.0
image,0.0001,lowrank,231,0.08402936915414946,0.05635628739861887,0.1152867745343183,0.14285714285714285,0.7402597402597403,0.2597402597402597
image,0.0003,raw,231,0.12221873244349724,0.09860292008357412,0.1449022015927737,0.6277056277056277,0.8701298701298701,0.12987012987012986
image,0.0003,lowrank,231,0.3577458648471083,0.3159243782112726,0.4004558484890894,0.7142857142857143,0.9004329004329005,0.09956709956709957
image,0.001,raw,231,0.15963860484985673,0.13453148713357788,0.18518073957112904,0.7878787878787878,0.8614718614718615,0.13852813852813853
image,0.001,lowrank,231,0.5596682417173136,0.5130537500322961,0.6056511278819566,0.8787878787878788,0.922077922077922,0.07792207792207792
image,0.003,raw,231,0.24484412438433464,0.21776097157665958,0.27201658910898135,0.8961038961038961,0.9177489177489178,0.08225108225108226
image,0.003,lowrank,231,0.7360749818757933,0.6929938444514584,0.7769798041631542,0.9437229437229437,0.9523809523809523,0.047619047619047616
image,0.01,raw,231,0.21815473938153096,0.1962486659804313,0.23855663447965028,0.9047619047619048,0.9134199134199135,0.08658008658008658
image,0.01,lowrank,231,0.8246327231683171,0.7874892685217221,0.8587048560237804,0.9696969696969697,0.9696969696969697,0.030303030303030304
annotation,1e-05,raw,545,0.0,0.0,0.0,0.0,1.0,0.0
annotation,1e-05,lowrank,545,0.02711346523620726,0.018625552429106036,0.036678623622536495,0.06972477064220184,0.9908256880733946,0.009174311926605505
annotation,3e-05,raw,545,0.0,0.0,0.0,0.0,1.0,0.0
annotation,3e-05,lowrank,545,0.04885666003302166,0.03531658387500662,0.06288027684337345,0.09174311926605505,0.9284403669724771,0.07155963302752294
annotation,0.0001,raw,545,0.0,0.0,0.0,0.0,1.0,0.0
annotation,0.0001,lowrank,545,0.057204439628832246,0.043607229084320645,0.07263157659027043,0.10825688073394496,0.8366972477064221,0.163302752293578
annotation,0.0003,raw,545,0.07971071745865711,0.06639423865462069,0.09366249676183021,0.46605504587155966,0.9064220183486239,0.09357798165137615
annotation,0.0003,lowrank,545,0.24588338708846072,0.2208134173714463,0.27097278490289456,0.5357798165137615,0.8917431192660551,0.10825688073394496
annotation,0.001,raw,545,0.0819726002178183,0.0663474981655413,0.0979047462366231,0.5853211009174312,0.818348623853211,0.181651376146789
annotation,0.001,lowrank,545,0.41039073031666795,0.3794254154546221,0.44083191634184543,0.7119266055045872,0.8899082568807339,0.11009174311926606
annotation,0.003,raw,545,0.16804749432615448,0.14851672549352746,0.18816473690085983,0.7926605504587156,0.8715596330275229,0.12844036697247707
annotation,0.003,lowrank,545,0.5910636408121416,0.5585731095314769,0.6245140200603148,0.8477064220183487,0.9321100917431193,0.06788990825688074
annotation,0.01,raw,545,0.18845723845070333,0.17195291463428647,0.20449926389409076,0.8770642201834863,0.8917431192660551,0.10825688073394496
annotation,0.01,lowrank,545,0.6986781466493813,0.6670845147054603,0.7290119040110216,0.944954128440367,0.963302752293578,0.03669724770642202
