pfa_target,comparator,frames,mean_delta_pd,ci95_low,ci95_high,positive_frame_fraction
1e-05,raw,210,-0.0007329655472015097,-0.0022937811844853063,0.0007292779107565868,0.047619047619047616
1e-05,low_rank_residual_k30,210,0.00032810805481612925,-0.0011548968500443657,0.0018455221581386168,0.02857142857142857
1e-05,amf_steering_bank,210,6.582500488225724e-05,-0.0016300649430980917,0.0016103211016860373,0.08571428571428572
1e-05,kelly_steering_bank,210,6.582500488225724e-05,-0.0015732941937753938,0.0016637035832159244,0.08571428571428572
1e-05,anmf_steering_bank,210,0.025894137484724692,0.023643740112166297,0.028280759379182507,0.8428571428571429
1e-05,ace_steering_bank,210,0.025894137484724692,0.02362078483799144,0.02826326438864698,0.8428571428571429
3e-05,raw,210,0.006249686707441818,0.0034105247601412692,0.009140469672032416,0.23333333333333334
3e-05,low_rank_residual_k30,210,0.0035461475054873065,0.0013486187068160467,0.0058384525306289774,0.1380952380952381
3e-05,amf_steering_bank,210,0.007428334597579828,0.0048339936804837535,0.009991537666911212,0.3523809523809524
3e-05,kelly_steering_bank,210,0.007405658860618377,0.004866249530702474,0.009991396884088864,0.34285714285714286
3e-05,anmf_steering_bank,210,0.052767500261541124,0.04916397156730366,0.05653359108532404,0.9857142857142858
3e-05,ace_steering_bank,210,0.052767500261541124,0.04920510243740902,0.05654164941740157,0.9857142857142858
0.0001,raw,210,0.04284486885340078,0.03451527280234553,0.05151116651532484,0.6666666666666666
0.0001,low_rank_residual_k30,210,0.015594709917392261,0.010658520804782667,0.02056649017949919,0.46190476190476193
0.0001,amf_steering_bank,210,0.04104027803984445,0.03529347775624283,0.046859127006079054,0.7619047619047619
0.0001,kelly_steering_bank,210,0.04104027803984445,0.03534369888884846,0.046889017029777234,0.7619047619047619
0.0001,anmf_steering_bank,210,0.15604037635546789,0.14711012156835468,0.1653958658004871,1.0
0.0001,ace_steering_bank,210,0.15604037635546789,0.14728698362075626,0.16524267925504404,1.0
0.0003,raw,210,0.15515858371947136,0.13854098160196593,0.1723449516854491,0.9761904761904762
0.0003,low_rank_residual_k30,210,0.05852933079965994,0.04858336551190882,0.06886535803005978,0.7333333333333333
0.0003,amf_steering_bank,210,0.09909830400086056,0.09002351415801892,0.10828962768422887,0.9476190476190476
0.0003,kelly_steering_bank,210,0.10003332024691572,0.09094637459233072,0.10918195678219972,0.9523809523809523
0.0003,anmf_steering_bank,210,0.3448619449214414,0.33003967423675656,0.360195533882738,1.0
0.0003,ace_steering_bank,210,0.3448619449214414,0.3298297373858553,0.36034237363070226,1.0
0.001,raw,210,0.3467616487089478,0.326074701673317,0.3679163993621393,1.0
0.001,low_rank_residual_k30,210,0.11149076515047028,0.09469582602437461,0.12845150179987025,0.7619047619047619
0.001,amf_steering_bank,210,0.12889335086202888,0.11757859203468245,0.1401932030789131,0.9142857142857143
0.001,kelly_steering_bank,210,0.1291031569238807,0.11780233961877341,0.1406619082747873,0.9142857142857143
0.001,anmf_steering_bank,210,0.6008926861163221,0.585628324514359,0.6161149136424957,1.0
0.001,ace_steering_bank,210,0.6008926861163221,0.5859667760131637,0.6166450996027868,1.0
0.003,raw,210,0.39446342151548736,0.37413106242513694,0.41529333748671887,1.0
0.003,low_rank_residual_k30,210,0.10427071403070705,0.08925953208271965,0.1196130683747963,0.7952380952380952
0.003,amf_steering_bank,210,0.06448414896400995,0.0540685245763279,0.07539563924094235,0.7142857142857143
0.003,kelly_steering_bank,210,0.06448414896400995,0.05436648441318583,0.0749993890627534,0.7142857142857143
0.003,anmf_steering_bank,210,0.6741796067324871,0.6518729442656672,0.6957377726364009,1.0
0.003,ace_steering_bank,210,0.6741796067324871,0.6524007837676357,0.6954574464103349,1.0
0.01,raw,210,0.2704624234323926,0.2508752224937536,0.2898474134437994,0.9761904761904762
0.01,low_rank_residual_k30,210,0.08292851149619264,0.06929188438903265,0.09735212475411335,0.7571428571428571
0.01,amf_steering_bank,210,0.05149047186692982,0.04157916196624558,0.06233640845827448,0.5904761904761905
0.01,kelly_steering_bank,210,0.05159869697515492,0.0411795111096755,0.06255061164911917,0.5904761904761905
0.01,anmf_steering_bank,210,0.5894320259779972,0.5512275903473195,0.6272520013486895,1.0
0.01,ace_steering_bank,210,0.5894320259779972,0.5522104844696851,0.627684382605141,1.0
