phase,asset,method,pfa_target,frames,alarm_budget_per_frame,finite_grid_alarm_rate,target_count,target_detections,pd_pooled,pd_macro,background_count,false_alarms,realized_pfa,pfa_cp95_upper
h0_audit,simMed_test.mat,ace_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simMed_test.mat,ace_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simMed_test.mat,ace_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simMed_test.mat,ace_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simMed_test.mat,ace_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simMed_test.mat,ace_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simMed_test.mat,ace_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
h0_audit,simMed_test.mat,amf_steering_bank,1e-05,4,1,1.52587890625e-05,0,0,,,262144,4,1.52587890625e-05,3.491756077531658e-05
h0_audit,simMed_test.mat,amf_steering_bank,3e-05,4,2,3.0517578125e-05,0,0,,,262144,8,3.0517578125e-05,5.506314299479093e-05
h0_audit,simMed_test.mat,amf_steering_bank,0.0001,4,7,0.0001068115234375,0,0,,,262144,28,0.0001068115234375,0.00014643913605923836
h0_audit,simMed_test.mat,amf_steering_bank,0.0003,4,20,0.00030517578125,0,0,,,262144,80,0.00030517578125,0.0003675347451123681
h0_audit,simMed_test.mat,amf_steering_bank,0.001,4,66,0.001007080078125,0,0,,,262144,264,0.001007080078125,0.0011151001898550496
h0_audit,simMed_test.mat,amf_steering_bank,0.003,4,197,0.0030059814453125,0,0,,,262144,788,0.0030059814453125,0.003187896074551341
h0_audit,simMed_test.mat,amf_steering_bank,0.01,4,656,0.010009765625,0,0,,,262144,2624,0.010009765625,0.010335516436312845
