pfa,target_method,comparator,n_items,mean_delta_pd,ci95_low,ci95_high,positive_fraction,nonnegative_fraction
1e-05,tpsscs_finished_detector,raw,210,0.10458096223315758,0.09416316768626119,0.11519144870269091,0.8952380952380953,0.9809523809523809
1e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.08307135246178572,0.07505699580160273,0.09086875420605442,0.9285714285714286,1.0
3e-05,tpsscs_finished_detector,raw,210,0.11480940579359332,0.10194766182270372,0.12775696463509484,0.8904761904761904,0.9333333333333333
3e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.07876762064069348,0.07114085917102321,0.08709243321832413,0.9095238095238095,1.0
0.0001,tpsscs_finished_detector,raw,210,0.16325252170296725,0.14712996096744138,0.17833640628706748,0.8952380952380953,0.9380952380952381
0.0001,tpsscs_finished_detector,low_rank_residual_k30,210,0.06561562998427185,0.05862275704032816,0.07316344781103433,0.8666666666666667,1.0
0.0003,tpsscs_finished_detector,raw,210,0.245243034195003,0.22596994234413614,0.26588453570136816,0.9523809523809523,0.9761904761904762
0.0003,tpsscs_finished_detector,low_rank_residual_k30,210,0.053926540110712906,0.04706352422394302,0.061948634876338476,0.7333333333333333,1.0
0.001,tpsscs_finished_detector,raw,210,0.32579111509372616,0.3034396542938278,0.3486125954506563,0.9761904761904762,0.9857142857142858
0.001,tpsscs_finished_detector,low_rank_residual_k30,210,0.04362594813770896,0.037113908135639376,0.05048584907094964,0.6047619047619047,1.0
0.003,tpsscs_finished_detector,raw,210,0.32657747085636485,0.30345547757473795,0.34936178710069526,0.9428571428571428,0.9857142857142858
0.003,tpsscs_finished_detector,low_rank_residual_k30,210,0.03526525940234438,0.0292139499498385,0.041728378253354285,0.5190476190476191,1.0
0.01,tpsscs_finished_detector,raw,210,0.2127178263343586,0.19172548867213532,0.2349058759847781,0.8952380952380953,0.9095238095238095
0.01,tpsscs_finished_detector,low_rank_residual_k30,210,0.0289850725619028,0.02284209742769977,0.03528773058890157,0.45714285714285713,1.0
