pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,training_cells,guard_cells,os_percentile,residual_threshold,gate_threshold
1e-05,12204.614443104494,0.023255813953488372,0.0,43,65493,0,0,1,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
3e-05,10554.886521334567,0.023255813953488372,1.526880735345762e-05,43,65493,1,1,2,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
0.0001,7695.695412428018,0.09302325581395349,9.161284412074573e-05,43,65493,6,6,10,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
0.0003,5192.538675695876,0.11627906976744186,0.0002901073397156948,43,65493,19,19,24,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
0.001,3608.9594223002164,0.23255813953488372,0.0009924724779747454,43,65493,65,65,75,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
0.003,2390.1337726945085,0.32558139534883723,0.0029926862412776936,43,65493,196,196,210,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
0.01,1286.6103052929573,0.46511627906976744,0.009985800009161284,43,65493,654,654,674,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_global_topk,global,6,2,75.0,,
1e-05,890.9266426032286,0.13953488372093023,0.0,43,65493,0,0,6,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
3e-05,756.4363690708125,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.0001,401.58019833356786,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.0003,168.71687561749457,0.46511627906976744,0.0002901073397156948,43,65493,19,19,39,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.001,70.9989880511938,0.7674418604651163,0.0009924724779747454,43,65493,65,65,98,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.003,25.79942667387031,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
0.01,13.510826675563507,0.9534883720930233,0.009985800009161284,43,65493,654,654,695,conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_global_topk,global,6,2,75.0,,
1e-05,2169.6683412279913,0.06976744186046512,0.0,43,65493,0,0,3,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,2115.6676437741676,0.06976744186046512,1.526880735345762e-05,43,65493,1,1,4,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,940.6247710763249,0.18604651162790697,9.161284412074573e-05,43,65493,6,6,14,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,335.7700293129178,0.32558139534883723,0.0002901073397156948,43,65493,19,19,33,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,64.89674130381803,0.5348837209302325,0.0009924724779747454,43,65493,65,65,88,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,17.210999827584626,0.7209302325581395,0.0029926862412776936,43,65493,196,196,227,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,8.745645022446341,0.813953488372093,0.009985800009161284,43,65493,654,654,689,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_ca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,1886.9812001297541,0.06976744186046512,0.0,43,65493,0,0,3,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,1713.8949767175584,0.06976744186046512,1.526880735345762e-05,43,65493,1,1,4,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,728.4564505918725,0.20930232558139536,9.161284412074573e-05,43,65493,6,6,15,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,242.38543280012027,0.3488372093023256,0.0002901073397156948,43,65493,19,19,34,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,43.49101386218446,0.5348837209302325,0.0009924724779747454,43,65493,65,65,88,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,12.140726026953075,0.6744186046511628,0.0029926862412776936,43,65493,196,196,225,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,6.252172500746068,0.7906976744186046,0.009985800009161284,43,65493,654,654,688,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_goca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,776461754750326.5,0.023255813953488372,0.0,43,65493,0,0,1,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,748340635147432.0,0.023255813953488372,1.526880735345762e-05,43,65493,1,1,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,435517398731475.25,0.023255813953488372,9.161284412074573e-05,43,65493,6,6,7,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,153771136035100.16,0.023255813953488372,0.0002901073397156948,43,65493,19,19,20,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,20016788804259.723,0.023255813953488372,0.0009924724779747454,43,65493,65,65,66,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,6259911017150.959,0.023255813953488372,0.0029926862412776936,43,65493,196,196,197,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,3335372600385.0312,0.023255813953488372,0.009985800009161284,43,65493,654,654,655,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_soca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,1960.224448508893,0.09302325581395349,0.0,43,65493,0,0,4,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,1747.683425084914,0.11627906976744186,1.526880735345762e-05,43,65493,1,1,6,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,872.7338792443868,0.20930232558139536,9.161284412074573e-05,43,65493,6,6,15,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,362.80591259414643,0.3488372093023256,0.0002901073397156948,43,65493,19,19,34,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,77.34151456419819,0.627906976744186,0.0009924724779747454,43,65493,65,65,92,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,32.52655032515464,0.7674418604651163,0.0029926862412776936,43,65493,196,196,229,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,15.37067454276411,0.8372093023255814,0.009985800009161284,43,65493,654,654,690,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,raw_os75_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,372.9883663395769,0.046511627906976744,0.0,43,65493,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,216.86494511198586,0.13953488372093023,1.526880735345762e-05,43,65493,1,1,7,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,172.0353052098053,0.18604651162790697,9.161284412074573e-05,43,65493,6,6,14,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,77.59703880846557,0.46511627906976744,0.0002901073397156948,43,65493,19,19,39,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,28.467043782068956,0.6976744186046512,0.0009924724779747454,43,65493,65,65,95,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,8.329710801147337,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
0.01,4.520150305239797,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,6,2,75.0,,
1e-05,287.61267131509163,0.046511627906976744,0.0,43,65493,0,0,2,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
3e-05,196.93610316271406,0.09302325581395349,1.526880735345762e-05,43,65493,1,1,5,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0001,120.06850264799827,0.23255813953488372,9.161284412074573e-05,43,65493,6,6,16,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.0003,69.13207577206495,0.4418604651162791,0.0002901073397156948,43,65493,19,19,38,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.001,22.206678812288935,0.6744186046511628,0.0009924724779747454,43,65493,65,65,94,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
0.003,6.77626270586957,0.9069767441860465,0.0029926862412776936,43,65493,196,196,235,local_cfar_score_conservative_topk_strict_gt,simMed_test.mat,0,simMed_test.mat#0,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,6,2,75.0,,
