asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
simMed_test.mat,1e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.08825666226075345,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_global_topk,global,0.09885361114797112,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.08896681357733874,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.09204693641187521,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.004073994204156571,0.0,105
simMed_test.mat,1e-05,raw_ca_cfar_local,classical_local_cfar,0.07634087668228712,0.0,105
simMed_test.mat,1e-05,raw_global_topk,global,0.0783311427619855,0.0,105
simMed_test.mat,1e-05,raw_goca_cfar_local,classical_local_cfar,0.07090285405382506,0.0,105
simMed_test.mat,1e-05,raw_os75_cfar_local,classical_local_cfar,0.079991727611155,0.0,105
simMed_test.mat,1e-05,raw_soca_cfar_local,classical_local_cfar,0.004357927161146121,0.0,105
simMed_test.mat,1e-05,tpsscs_finished_detector,proposed,0.18454489041963204,0.0,105
simMed_test.mat,3e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.14527509161538488,1.526753812803079e-05,105
simMed_test.mat,3e-05,low_rank_residual_k30_global_topk,global,0.1503500214703694,1.526753812803079e-05,105
simMed_test.mat,3e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.1415894007914991,1.526753812803079e-05,105
simMed_test.mat,3e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.1451408551035935,1.526753812803079e-05,105
simMed_test.mat,3e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.00480941658706091,1.526753812803079e-05,105
simMed_test.mat,3e-05,raw_ca_cfar_local,classical_local_cfar,0.11269203822272986,1.526753812803079e-05,105
simMed_test.mat,3e-05,raw_global_topk,global,0.11489453378068927,1.526753812803079e-05,105
