asset,pfa,proposed_method,proposed_pd,proposed_empirical_pfa,best_classical_method,best_classical_family,best_classical_pd,best_classical_empirical_pfa,delta_vs_best_classical,n_items,pfa_ceiling,pfa_calibrated,beats_best_classical,ties_best_classical
combined,1e-05,tpsscs_finished_detector,0.1845320530347855,0.0,low_rank_residual_k30_global_topk,global,0.1014607005729998,0.0,0.08307135246178571,210,1.0600000000000002e-05,True,True,False
combined,3e-05,tpsscs_finished_detector,0.23582166376780267,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,0.15705404312710922,1.526753812803079e-05,0.07876762064069345,210,3.16e-05,True,True,False
combined,0.0001,tpsscs_finished_detector,0.3681866997918742,9.160522876818475e-05,low_rank_residual_k30_global_topk,global,0.30257106980760234,9.160522876818475e-05,0.06561562998427184,210,0.00010510000000000001,True,True,False
combined,0.0003,tpsscs_finished_detector,0.5261399631103596,0.00029008322443258505,low_rank_residual_k30_global_topk,global,0.47221342299964675,0.00029008322443258505,0.05392654011071285,210,0.00031509999999999996,True,True,False
combined,0.001,tpsscs_finished_detector,0.7028664531528073,0.0009923899783220015,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.6715836141170598,0.0009923899783220015,0.03128283903574747,210,0.0010501000000000002,True,True,False
combined,0.003,tpsscs_finished_detector,0.813040071150322,0.002992437473094035,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.7880186552380163,0.002992437473094035,0.025021415912305667,210,0.0031501,True,True,False
combined,0.01,tpsscs_finished_detector,0.8677902575913439,0.009992820396478995,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8473335610699323,0.009992820396478995,0.020456696521411577,210,0.0105001,True,True,False
simMed_test.mat,1e-05,tpsscs_finished_detector,0.18454489041963204,0.0,low_rank_residual_k30_global_topk,global,0.09885361114797112,0.0,0.08569127927166093,105,1.0600000000000002e-05,True,True,False
simMed_test.mat,3e-05,tpsscs_finished_detector,0.23292866331646775,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,0.1503500214703694,1.526753812803079e-05,0.08257864184609834,105,3.16e-05,True,True,False
simMed_test.mat,0.0001,tpsscs_finished_detector,0.3631281887560889,9.160522876818475e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.29888625522916534,9.160522876818475e-05,0.06424193352692353,105,0.00010510000000000001,True,True,False
simMed_test.mat,0.0003,tpsscs_finished_detector,0.5154646610355453,0.00029008322443258505,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.45909349605340555,0.00029008322443258505,0.05637116498213979,105,0.00031509999999999996,True,True,False
simMed_test.mat,0.001,tpsscs_finished_detector,0.6957533928816516,0.0009923899783220015,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.6662843162471395,0.0009923899783220015,0.029469076634512148,105,0.0010501000000000002,True,True,False
simMed_test.mat,0.003,tpsscs_finished_detector,0.8138666025670929,0.002992437473094035,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.7882172721197522,0.002992437473094035,0.025649330447340635,105,0.0031501,True,True,False
simMed_test.mat,0.01,tpsscs_finished_detector,0.8692331860864192,0.009992820396478995,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8476619257223119,0.009992820396478995,0.02157126036410728,105,0.0105001,True,True,False
simWind_test.mat,1e-05,tpsscs_finished_detector,0.184519215649939,0.0,low_rank_residual_k30_global_topk,global,0.10406778999802849,0.0,0.08045142565191052,105,1.0600000000000002e-05,True,True,False
simWind_test.mat,3e-05,tpsscs_finished_detector,0.23871466421913765,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,0.163758064783849,1.526753812803079e-05,0.07495659943528865,105,3.16e-05,True,True,False
simWind_test.mat,0.0001,tpsscs_finished_detector,0.37324521082765943,9.160522876818475e-05,low_rank_residual_k30_global_topk,global,0.31075641617749705,9.160522876818475e-05,0.06248879465016238,105,0.00010510000000000001,True,True,False
simWind_test.mat,0.0003,tpsscs_finished_detector,0.5368152651851739,0.00029008322443258505,low_rank_residual_k30_global_topk,global,0.486945497023541,0.00029008322443258505,0.049869768161632855,105,0.00031509999999999996,True,True,False
simWind_test.mat,0.001,tpsscs_finished_detector,0.709979513423963,0.0009923899783220015,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.6787585226814273,0.0009923899783220015,0.031220990742535704,105,0.0010501000000000002,True,True,False
simWind_test.mat,0.003,tpsscs_finished_detector,0.8122135397335509,0.002992437473094035,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.7878200383562802,0.002992437473094035,0.0243935013772707,105,0.0031501,True,True,False
simWind_test.mat,0.01,tpsscs_finished_detector,0.8663473290962684,0.009992820396478995,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8470051964175529,0.009992820396478995,0.01934213267871554,105,0.0105001,True,True,False
