asset,pfa,proposed_method,proposed_pd,proposed_empirical_pfa,best_classical_method,best_classical_family,best_training_cells,best_guard_cells,best_os_percentile,best_classical_pd,best_classical_empirical_pfa,delta_vs_best_classical,n_items,pfa_ceiling,pfa_calibrated,beats_best_classical,ties_best_classical
combined,1e-05,tpsscs_finished_detector,0.1845320530347855,0.0,raw_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.10248933225791718,0.0,0.08204272077686833,210,1.0600000000000002e-05,True,True,False
combined,3e-05,tpsscs_finished_detector,0.23582166376780267,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,,,,0.15705404312710922,1.526753812803079e-05,0.07876762064069345,210,3.16e-05,True,True,False
combined,0.0001,tpsscs_finished_detector,0.3681866997918742,9.160522876818475e-05,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.3179530937290412,9.160522876818475e-05,0.050233606062833,210,0.00010510000000000001,True,True,False
combined,0.0003,tpsscs_finished_detector,0.5261399631103596,0.00029008322443258505,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.49254581405640024,0.00029008322443258505,0.033594149053959355,210,0.00031509999999999996,True,True,False
combined,0.001,tpsscs_finished_detector,0.7028664531528073,0.0009923899783220015,low_rank_residual_k30_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.6866427660870623,0.0009923899783220015,0.01622368706574495,210,0.0010501000000000002,True,True,False
combined,0.003,tpsscs_finished_detector,0.813040071150322,0.002992437473094035,low_rank_residual_k30_os75_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,75.0,0.7905512217815598,0.002992437473094035,0.022488849368762165,210,0.0031501,True,True,False
combined,0.01,tpsscs_finished_detector,0.8677902575913439,0.009992820396478995,low_rank_residual_k30_os60_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,60.0,0.8500169176388114,0.009992820396478995,0.017773339952532496,210,0.0105001,True,True,False
simMed_test.mat,1e-05,tpsscs_finished_detector,0.18454489041963204,0.0,raw_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.10144802710904603,0.0,0.08309686331058601,105,1.0600000000000002e-05,True,True,False
simMed_test.mat,3e-05,tpsscs_finished_detector,0.23292866331646775,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,,,,0.1503500214703694,1.526753812803079e-05,0.08257864184609834,105,3.16e-05,True,True,False
simMed_test.mat,0.0001,tpsscs_finished_detector,0.3631281887560889,9.160522876818475e-05,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.3163564014687515,9.160522876818475e-05,0.046771787287337385,105,0.00010510000000000001,True,True,False
simMed_test.mat,0.0003,tpsscs_finished_detector,0.5154646610355453,0.00029008322443258505,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.4896700856179057,0.00029008322443258505,0.02579457541763963,105,0.00031509999999999996,True,True,False
simMed_test.mat,0.001,tpsscs_finished_detector,0.6957533928816516,0.0009923899783220015,low_rank_residual_k30_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.6822465985015158,0.0009923899783220015,0.0135067943801358,105,0.0010501000000000002,True,True,False
simMed_test.mat,0.003,tpsscs_finished_detector,0.8138666025670929,0.002992437473094035,low_rank_residual_k30_os75_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,75.0,0.7905957568832244,0.002992437473094035,0.023270845683868502,105,0.0031501,True,True,False
simMed_test.mat,0.01,tpsscs_finished_detector,0.8692331860864192,0.009992820396478995,low_rank_residual_k30_os60_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,60.0,0.8511481615971666,0.009992820396478995,0.018085024489252643,105,0.0105001,True,True,False
simWind_test.mat,1e-05,tpsscs_finished_detector,0.184519215649939,0.0,raw_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.10409525121428752,0.0,0.08042396443565149,105,1.0600000000000002e-05,True,True,False
simWind_test.mat,3e-05,tpsscs_finished_detector,0.23871466421913765,1.526753812803079e-05,low_rank_residual_k30_global_topk,global,,,,0.163758064783849,1.526753812803079e-05,0.07495659943528865,105,3.16e-05,True,True,False
simWind_test.mat,0.0001,tpsscs_finished_detector,0.37324521082765943,9.160522876818475e-05,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.3195497859893308,9.160522876818475e-05,0.05369542483832862,105,0.00010510000000000001,True,True,False
simWind_test.mat,0.0003,tpsscs_finished_detector,0.5368152651851739,0.00029008322443258505,low_rank_residual_k30_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.49614726458576763,0.00029008322443258505,0.04066800059940623,105,0.00031509999999999996,True,True,False
simWind_test.mat,0.001,tpsscs_finished_detector,0.709979513423963,0.0009923899783220015,low_rank_residual_k30_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.6910389336726087,0.0009923899783220015,0.018940579751354325,105,0.0010501000000000002,True,True,False
simWind_test.mat,0.003,tpsscs_finished_detector,0.8122135397335509,0.002992437473094035,low_rank_residual_k30_os60_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,60.0,0.7912362817523478,0.002992437473094035,0.02097725798120309,105,0.0031501,True,True,False
simWind_test.mat,0.01,tpsscs_finished_detector,0.8663473290962684,0.009992820396478995,low_rank_residual_k30_os60_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,60.0,0.8499511864341464,0.009992820396478995,0.016396142662122082,105,0.0105001,True,True,False
