asset,pfa_target,method,method_family,training_cells,guard_cells,os_percentile,pd_mean,empirical_pfa_mean,n_items
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.09697341266427659,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,,0.09289114014293422,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,,0.09012385421004422,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,,0.08825666226075345,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,,0.0888262556879866,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_ca_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,,0.08834607832475304,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_global_topk,global,,,,0.09885361114797112,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.09841858974659401,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,,0.09472075801369334,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,,0.09290369492251092,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,,0.08896681357733874,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,,0.08953393042075845,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_goca_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,,0.08631595072670165,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,60.0,0.09257812210532451,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,60.0,0.09118923813759723,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,60.0,0.09208960734568111,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,60.0,0.09167980056368337,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,60.0,0.09345819953614941,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os60_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,60.0,0.09541184938345366,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,75.0,0.0932850406524651,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,75.0,0.09342768699786998,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,75.0,0.09328665035045561,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,75.0,0.09204693641187521,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,75.0,0.09315454657166813,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os75_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,75.0,0.09375286975537941,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,90.0,0.09079956557211101,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,90.0,0.09538911837881218,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,90.0,0.09441562411239422,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,90.0,0.09476243646980807,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,90.0,0.09550905938401924,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_os90_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,90.0,0.09269263395685233,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.0018695305752221161,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,,0.004073994204156571,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,,0.0018695305752221161,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t6_g2_cfar_local,classical_local_cfar_param_sweep,6.0,2.0,,0.004073994204156571,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t8_g1_cfar_local,classical_local_cfar_param_sweep,8.0,1.0,,0.0018695305752221161,0.0,105
simMed_test.mat,1e-05,low_rank_residual_k30_soca_t8_g2_cfar_local,classical_local_cfar_param_sweep,8.0,2.0,,0.004073994204156571,0.0,105
simMed_test.mat,1e-05,raw_ca_t4_g1_cfar_local,classical_local_cfar_param_sweep,4.0,1.0,,0.10144802710904603,0.0,105
simMed_test.mat,1e-05,raw_ca_t4_g2_cfar_local,classical_local_cfar_param_sweep,4.0,2.0,,0.0776194098163334,0.0,105
simMed_test.mat,1e-05,raw_ca_t6_g1_cfar_local,classical_local_cfar_param_sweep,6.0,1.0,,0.09049883695767569,0.0,105
