asset,comparator,pfa_target,n_items,target_pd_mean,comparator_pd_mean,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
combined,low_rank_residual_k30,1e-05,210,0.1845320530347855,0.10146070057299979,0.08307135246178572,0.0714690867838911,0.0,0.0,0.2666666666666667,0.07529104530054878,0.09105972380775279,195,15,0,0.9285714285714286,1.0,1.0,1.9913648889155653e-59,1.2545598800168062e-57,True,True
combined,low_rank_residual_k30,3e-05,210,0.23582166376780267,0.1570540431271092,0.07876762064069348,0.06666666666666671,0.0,0.0,0.26666666666666666,0.07089966464109333,0.08660742861037146,191,19,0,0.9095238095238095,1.0,1.0,3.1861838222649046e-58,6.6909860267563e-57,True,True
combined,low_rank_residual_k30,0.0001,210,0.36818669979187413,0.3025710698076023,0.06561562998427185,0.051315789473684245,0.0,0.0,0.26666666666666666,0.05844265396694595,0.07292118717162047,182,28,0,0.8666666666666667,1.0,1.0,1.6313261169996311e-55,2.0554709074195352e-54,True,True
combined,low_rank_residual_k30,0.0003,210,0.5261399631103596,0.47221342299964675,0.053926540110712906,0.040000000000000036,0.0,0.0,0.26666666666666666,0.04657418263122856,0.06148734293034752,154,56,0,0.7333333333333333,1.0,1.0,4.3790577010150533e-47,3.0653403907105373e-46,True,True
combined,low_rank_residual_k30,0.001,210,0.7028664531528074,0.6592405050150985,0.04362594813770896,0.03102453102453101,0.0,0.0,0.26666666666666666,0.03689680209048602,0.05083810288936379,127,83,0,0.6047619047619047,1.0,1.0,5.877471754111438e-39,3.0856726709085047e-38,True,True
combined,low_rank_residual_k30,0.003,210,0.8130400711503218,0.7777748117479776,0.03526525940234438,0.01694915254237289,0.0,0.0,0.2666666666666666,0.028988041356893254,0.04186534382926046,109,101,0,0.5190476190476191,1.0,1.0,1.5407439555097887e-33,6.933347799794049e-33,True,True
combined,low_rank_residual_k30,0.01,210,0.8677902575913439,0.8388051850294411,0.0289850725619028,0.0,0.0,0.0,0.2666666666666666,0.02308196272170227,0.03519703976402051,96,114,0,0.45714285714285713,1.0,1.0,1.262177448353619e-29,3.7865323450608567e-29,True,True
combined,raw,1e-05,210,0.1845320530347855,0.07995109080162792,0.10458096223315758,0.08850250626566415,0.0,-0.12,0.3529411764705882,0.09382342032823625,0.1151244778486677,188,18,4,0.8952380952380953,0.9809523809523809,0.9583333333333334,8.929326202253627e-51,7.031844384274731e-50,True,True
combined,raw,3e-05,210,0.23582166376780267,0.12101225797420938,0.11480940579359332,0.1071428571428572,-0.04266304347826093,-0.1612903225806451,0.4000000000000001,0.10188160641252766,0.12777886287820311,187,9,14,0.8904761904761904,0.9333333333333333,0.8606965174129353,4.261157658078178e-40,2.440481204172047e-39,True,True
combined,raw,0.0001,210,0.36818669979187413,0.20493417808890693,0.16325252170296725,0.16064516129032258,-0.03415898617511521,-0.10000000000000003,0.5384615384615385,0.1474227714790623,0.17961623310656497,188,9,13,0.8952380952380953,0.9380952380952381,0.8706467661691543,3.1539791668671114e-41,1.9870068751262804e-40,True,True
