asset,pfa_target,comparator,n_items,mean_delta_pd,median_delta_pd,q05_delta_pd,q25_delta_pd,q75_delta_pd,q95_delta_pd,min_delta_pd,max_delta_pd,win_count,tie_count,loss_count,nonnegative_count,target_pd_mean,comparator_pd_mean,win_fraction,nonnegative_fraction,loss_fraction
combined,1e-05,low_rank_residual_k30,210,0.08307135246178572,0.0714690867838911,0.0,0.03999999999999998,0.12124849939975993,0.1923076923076923,0.0,0.2666666666666667,195,15,0,210,0.18453205303478548,0.10146070057299977,0.9285714285714286,1.0,0.0
combined,3e-05,low_rank_residual_k30,210,0.07876762064069348,0.06666666666666671,0.0,0.03653198653198655,0.11538461538461542,0.18653846153846132,0.0,0.26666666666666666,191,19,0,210,0.23582166376780267,0.1570540431271092,0.9095238095238095,1.0,0.0
combined,0.0001,low_rank_residual_k30,210,0.06561562998427185,0.051315789473684245,0.0,0.02598752598752599,0.09796404019037541,0.1603005865102639,0.0,0.26666666666666666,182,28,0,210,0.36818669979187413,0.30257106980760234,0.8666666666666667,1.0,0.0
combined,0.0003,low_rank_residual_k30,210,0.053926540110712906,0.040000000000000036,0.0,0.0,0.07692307692307697,0.15853726362625128,0.0,0.26666666666666666,154,56,0,210,0.5261399631103596,0.4722134229996467,0.7333333333333333,1.0,0.0
combined,0.001,low_rank_residual_k30,210,0.04362594813770896,0.03102453102453101,0.0,0.0,0.0666666666666667,0.14678571428571419,0.0,0.26666666666666666,127,83,0,210,0.7028664531528073,0.6592405050150983,0.6047619047619047,1.0,0.0
combined,0.003,low_rank_residual_k30,210,0.03526525940234438,0.01694915254237289,0.0,0.0,0.05882352941176469,0.1428571428571429,0.0,0.2666666666666666,109,101,0,210,0.813040071150322,0.7777748117479776,0.5190476190476191,1.0,0.0
combined,0.01,low_rank_residual_k30,210,0.028985072561902803,0.0,0.0,0.0,0.04166666666666663,0.12067307692307683,0.0,0.2666666666666666,96,114,0,210,0.8677902575913439,0.8388051850294409,0.45714285714285713,1.0,0.0
combined,1e-05,raw,210,0.10458096223315758,0.08850250626566415,0.0,0.04651162790697673,0.15228556753980488,0.24770408163265298,-0.12,0.3529411764705882,188,18,4,206,0.18453205303478548,0.07995109080162792,0.8952380952380953,0.9809523809523809,0.01904761904761905
combined,3e-05,raw,210,0.1148094057935933,0.1071428571428572,-0.04266304347826093,0.05785714285714283,0.17630145278450365,0.2657843137254902,-0.1612903225806451,0.4000000000000001,187,9,14,196,0.23582166376780267,0.12101225797420938,0.8904761904761904,0.9333333333333333,0.06666666666666667
combined,0.0001,raw,210,0.16325252170296725,0.16064516129032258,-0.03415898617511521,0.08695652173913043,0.23076923076923087,0.3790441176470587,-0.10000000000000003,0.5384615384615385,188,9,13,197,0.36818669979187413,0.20493417808890693,0.8952380952380953,0.9380952380952381,0.06190476190476191
combined,0.0003,raw,210,0.245243034195003,0.229020979020979,0.04545454545454536,0.14567627494456759,0.33333333333333337,0.5056122448979591,-0.15000000000000002,0.7692307692307694,200,5,5,205,0.5261399631103596,0.2808969289153566,0.9523809523809523,0.9761904761904762,0.023809523809523808
combined,0.001,raw,210,0.32579111509372616,0.3247518610421837,0.05554711246200618,0.2017241379310345,0.44,0.5966666666666666,-0.2,0.84,205,2,3,207,0.7028664531528073,0.37707533805908117,0.9761904761904762,0.9857142857142858,0.014285714285714285
combined,0.003,raw,210,0.32657747085636485,0.3304597701149426,0.0,0.2222222222222222,0.4583333333333333,0.5978571428571429,-0.10344827586206895,0.6799999999999999,198,9,3,207,0.813040071150322,0.48646260029395705,0.9428571428571428,0.9857142857142858,0.014285714285714285
combined,0.01,raw,210,0.2127178263343586,0.20454545454545453,-0.060812390414961934,0.12566489361702127,0.3333333333333335,0.46651583710407224,-0.2142857142857143,0.5925925925925926,188,3,19,191,0.8677902575913439,0.6550724312569852,0.8952380952380953,0.9095238095238095,0.09047619047619047
simMed_test.mat,1e-05,low_rank_residual_k30,105,0.08569127927166094,0.0769230769230769,0.0033898305084745814,0.04,0.125,0.1923076923076923,0.0,0.2666666666666667,99,6,0,105,0.184544890419632,0.09885361114797109,0.9428571428571428,1.0,0.0
simMed_test.mat,3e-05,low_rank_residual_k30,105,0.08257864184609834,0.0754716981132075,0.0,0.03846153846153849,0.12000000000000001,0.18956043956043953,0.0,0.26666666666666666,97,8,0,105,0.23292866331646775,0.1503500214703694,0.9238095238095239,1.0,0.0
simMed_test.mat,0.0001,low_rank_residual_k30,105,0.06874246531838131,0.054054054054054,0.0,0.03030303030303033,0.10000000000000003,0.16006674082313682,0.0,0.26666666666666666,94,11,0,105,0.3631281887560889,0.2943857234377076,0.8952380952380953,1.0,0.0
simMed_test.mat,0.0003,low_rank_residual_k30,105,0.05798331205979292,0.04166666666666674,0.0,0.02040816326530609,0.07692307692307698,0.16006674082313677,0.0,0.26666666666666666,83,22,0,105,0.5154646610355453,0.45748134897575243,0.7904761904761904,1.0,0.0
simMed_test.mat,0.001,low_rank_residual_k30,105,0.04694495269908025,0.03448275862068961,0.0,0.0,0.07407407407407407,0.14857142857142855,0.0,0.26666666666666666,67,38,0,105,0.6957533928816516,0.6488084401825713,0.638095238095238,1.0,0.0
simMed_test.mat,0.003,low_rank_residual_k30,105,0.03749919150974498,0.016949152542372947,0.0,0.0,0.06666666666666665,0.1400921658986175,0.0,0.2666666666666666,55,50,0,105,0.8138666025670929,0.7763674110573479,0.5238095238095238,1.0,0.0
simMed_test.mat,0.01,low_rank_residual_k30,105,0.030969357363260376,0.0,0.0,0.0,0.04166666666666663,0.12105263157894733,0.0,0.2666666666666666,49,56,0,105,0.8692331860864192,0.8382638287231589,0.4666666666666667,1.0,0.0
simMed_test.mat,1e-05,raw,105,0.10621374765764656,0.09090909090909088,0.0,0.0454545454545455,0.15384615384615383,0.24745762711864405,-0.12,0.3333333333333334,93,10,2,103,0.184544890419632,0.07833114276198547,0.8857142857142857,0.9809523809523809,0.01904761904761905
simMed_test.mat,3e-05,raw,105,0.1180341295357785,0.10638297872340419,0.0,0.0652173913043478,0.1785714285714286,0.26168910648714805,-0.0740740740740741,0.4000000000000001,98,2,5,100,0.23292866331646775,0.11489453378068923,0.9333333333333333,0.9523809523809523,0.047619047619047616
simMed_test.mat,0.0001,raw,105,0.16756503807791637,0.163265306122449,0.0,0.08695652173913043,0.2222222222222223,0.3964705882352941,-0.0833333333333334,0.5384615384615385,95,5,5,100,0.3631281887560889,0.1955631506781725,0.9047619047619048,0.9523809523809523,0.047619047619047616
simMed_test.mat,0.0003,raw,105,0.2468975216763906,0.22413793103448268,0.00909090909090908,0.1428571428571429,0.3389830508474577,0.4785185185185185,-0.15000000000000002,0.64,99,3,3,102,0.5154646610355453,0.26856713935915477,0.9428571428571428,0.9714285714285714,0.02857142857142857
simMed_test.mat,0.001,raw,105,0.33881126682573215,0.3461538461538462,0.08405797101449275,0.2222222222222222,0.4516129032258065,0.6097959183673469,-0.2,0.72,103,1,1,104,0.6957533928816516,0.35694212605591935,0.9809523809523809,0.9904761904761905,0.009523809523809525
simMed_test.mat,0.003,raw,105,0.34653968023838333,0.3650793650793651,0.04022598870056498,0.23076923076923084,0.46153846153846156,0.6042105263157894,-0.10000000000000003,0.6799999999999999,100,4,1,104,0.8138666025670929,0.4673269223287094,0.9523809523809523,0.9904761904761905,0.009523809523809525
simMed_test.mat,0.01,raw,105,0.235213357802586,0.2333333333333335,-0.0635057471264367,0.16279069767441867,0.3513513513513514,0.4959999999999999,-0.2142857142857143,0.5925925925925926,93,2,10,95,0.8692331860864192,0.6340198282838332,0.8857142857142857,0.9047619047619048,0.09523809523809523
simWind_test.mat,1e-05,low_rank_residual_k30,105,0.08045142565191052,0.06666666666666671,0.0,0.03999999999999998,0.11538461538461539,0.18404558404558402,0.0,0.2432432432432432,96,9,0,105,0.18451921564993898,0.10406778999802847,0.9142857142857143,1.0,0.0
simWind_test.mat,3e-05,low_rank_residual_k30,105,0.07495659943528865,0.06349206349206349,0.0,0.03571428571428581,0.1071428571428572,0.17888386123680244,0.0,0.2432432432432432,94,11,0,105,0.23871466421913762,0.16375806478384897,0.8952380952380953,1.0,0.0
simWind_test.mat,0.0001,low_rank_residual_k30,105,0.0624887946501624,0.047619047619047616,0.0,0.022727272727272707,0.08333333333333331,0.15830721003134796,0.0,0.24000000000000005,88,17,0,105,0.37324521082765943,0.31075641617749705,0.8380952380952381,1.0,0.0
simWind_test.mat,0.0003,low_rank_residual_k30,105,0.04986976816163289,0.036363636363636265,0.0,0.0,0.07692307692307693,0.15490716180371358,0.0,0.24,71,34,0,105,0.5368152651851739,0.486945497023541,0.6761904761904762,1.0,0.0
simWind_test.mat,0.001,low_rank_residual_k30,105,0.04030694357633767,0.027027027027027084,0.0,0.0,0.06557377049180335,0.1400921658986175,0.0,0.2,60,45,0,105,0.709979513423963,0.6696725698476255,0.5714285714285714,1.0,0.0
simWind_test.mat,0.003,low_rank_residual_k30,105,0.03303132729494378,0.016949152542372836,0.0,0.0,0.05405405405405406,0.13736263736263735,0.0,0.19999999999999996,54,51,0,105,0.8122135397335509,0.7791822124386073,0.5142857142857142,1.0,0.0
simWind_test.mat,0.01,low_rank_residual_k30,105,0.027000787760545222,0.0,0.0,0.0,0.04166666666666663,0.11299734748010618,0.0,0.19999999999999996,47,58,0,105,0.8663473290962684,0.8393465413357233,0.44761904761904764,1.0,0.0
simWind_test.mat,1e-05,raw,105,0.10294817680866862,0.08571428571428569,0.0,0.0476190476190477,0.1395348837209303,0.24391836734693878,-0.06666666666666671,0.3529411764705882,95,8,2,103,0.18451921564993898,0.08157103884127036,0.9047619047619048,0.9809523809523809,0.01904761904761905
simWind_test.mat,3e-05,raw,105,0.11158468205140809,0.1111111111111111,-0.05194805194805189,0.04999999999999999,0.1694915254237288,0.26832579185520355,-0.1612903225806451,0.4,89,7,9,96,0.23871466421913762,0.1271299821677295,0.8476190476190476,0.9142857142857143,0.08571428571428572
simWind_test.mat,0.0001,raw,105,0.1589400053280181,0.1428571428571429,-0.040476190476190485,0.08695652173913043,0.23255813953488377,0.32282352941176473,-0.10000000000000003,0.5384615384615385,93,4,8,97,0.37324521082765943,0.21430520549964135,0.8857142857142857,0.9238095238095239,0.0761904761904762
simWind_test.mat,0.0003,raw,105,0.2435885467136155,0.23076923076923078,0.05462184873949584,0.1463414634146341,0.31578947368421056,0.5148148148148148,-0.15000000000000002,0.7692307692307694,101,2,2,103,0.5368152651851739,0.2932267184715584,0.9619047619047619,0.9809523809523809,0.01904761904761905
simWind_test.mat,0.001,raw,105,0.31277096336172006,0.30769230769230765,0.04051063829787238,0.19444444444444442,0.4255319148936171,0.5585263157894736,-0.10000000000000003,0.84,102,1,2,103,0.709979513423963,0.397208550062243,0.9714285714285714,0.9809523809523809,0.01904761904761905
simWind_test.mat,0.003,raw,105,0.3066152614743463,0.30232558139534876,0.0,0.20000000000000007,0.42307692307692324,0.5701863354037269,-0.10344827586206895,0.64,98,5,2,103,0.8122135397335509,0.5055982782592047,0.9333333333333333,0.9809523809523809,0.01904761904761905
simWind_test.mat,0.01,raw,105,0.19022229486613113,0.1785714285714286,-0.049373618275607954,0.09090909090909083,0.3023255813953488,0.44990476190476186,-0.2142857142857143,0.56,95,1,9,96,0.8663473290962684,0.6761250342301373,0.9047619047619048,0.9142857142857143,0.08571428571428572
