label_budget,n_pair_observations,n_items,n_seeds,compact_auc_mean,low_label_hgb_auc_mean,mean_delta_compact_minus_low_label_hgb_auc,ci95_low,ci95_high,positive_fraction,nonnegative_fraction,compact_auc_ci_positive
1,630,210,3,0.5313080161181634,0.1380132724268561,0.39329474369130735,0.3850864127287112,0.40150428939794186,1.0,1.0,True
2,630,210,3,0.5313080161181634,0.1959144395562859,0.33539357656187757,0.3273968802910333,0.3434841663057196,1.0,1.0,True
4,630,210,3,0.5313080161181634,0.30630567714337,0.2250023389747934,0.21647967284752143,0.23353430656843055,0.9825396825396825,0.9841269841269841,True
8,630,210,3,0.5313080161181634,0.34685771954776695,0.1844502965703965,0.17483410604729793,0.19392417674225187,0.9222222222222223,0.9222222222222223,True
16,630,210,3,0.5313080161181634,0.4567459873925053,0.0745620287256581,0.06828229504555947,0.08081439157643282,0.8317460317460318,0.8317460317460318,True
32,630,210,3,0.5313080161181634,0.5300707761317943,0.0012372399863691428,-0.005604435624583382,0.00782294209523839,0.5015873015873016,0.5015873015873016,False
64,630,210,3,0.5313080161181634,0.5834465145199683,-0.05213849840180483,-0.059368111892260815,-0.044870431122411826,0.273015873015873,0.2746031746031746,False
128,630,210,3,0.5313080161181634,0.6517710259179464,-0.12046300979978301,-0.12817675322159094,-0.11262307431215426,0.10476190476190476,0.10476190476190476,False
256,630,210,3,0.5313080161181634,0.6749842076050883,-0.1436761914869248,-0.15148108149624995,-0.13587908093400825,0.05873015873015873,0.05873015873015873,False
512,630,210,3,0.5313080161181634,0.692444418012927,-0.16113640189476358,-0.16961370059055444,-0.15262639288267443,0.06031746031746032,0.06190476190476191,False
all,630,210,3,0.5313080161181634,0.7270838730074157,-0.19577585688925225,-0.2044627590803431,-0.18734787985353682,0.009523809523809525,0.009523809523809525,False
