asset,pfa,n_items,proposed_pd,learned_logreg_pd,raw_pd,lowrank_pd,delta_vs_learned_logreg,proposed_empirical_pfa,learned_empirical_pfa,pfa_ceiling,proposed_pfa_calibrated,learned_pfa_calibrated,proposed_beats_learned
combined,1e-05,210,0.18453205303478548,0.07409542189927831,0.07995109080162792,0.10146070057299977,0.11043663113550717,0.0,0.0,1.0600000000000002e-05,True,True,True
combined,3e-05,210,0.23582166376780267,0.11557300004815488,0.12101225797420938,0.1570540431271092,0.12024866371964779,1.526753812803079e-05,1.4322425010199209e-05,3.16e-05,True,True,True
combined,0.0001,210,0.36818669979187413,0.24272246560628383,0.20493417808890693,0.30257106980760234,0.1254642341855903,9.160522876818475e-05,9.080539076205124e-05,0.00010510000000000001,True,True,True
combined,0.0003,210,0.5261399631103596,0.39183780193357554,0.2808969289153566,0.4722134229996467,0.13430216117678406,0.0002900832244325381,0.0002897923744527434,0.00031509999999999996,True,True,True
combined,0.001,210,0.7028664531528073,0.5876246265934877,0.37707533805908117,0.6592405050150983,0.11524182655931958,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,True
combined,0.003,210,0.813040071150322,0.6985380471350275,0.48646260029395705,0.7777748117479776,0.11450202401529441,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,True
combined,0.01,210,0.8677902575913439,0.80823161321868,0.6550724312569852,0.8388051850294409,0.059558644372663894,0.009992820396478946,0.009992820396478995,0.0105001,True,True,True
simMed_test.mat,1e-05,105,0.184544890419632,0.0711511792142197,0.07833114276198547,0.09885361114797109,0.1133937112054123,0.0,0.0,1.0600000000000002e-05,True,True,True
simMed_test.mat,3e-05,105,0.23292866331646775,0.11252122713201057,0.11489453378068923,0.1503500214703694,0.12040743618445718,1.526753812803079e-05,1.3958925263479542e-05,3.16e-05,True,True,True
simMed_test.mat,0.0001,105,0.3631281887560889,0.24172854260015,0.1955631506781725,0.2943857234377076,0.12139964615593887,9.160522876818475e-05,9.087814488682634e-05,0.00010510000000000001,True,True,True
simMed_test.mat,0.0003,105,0.5154646610355453,0.38323246415126433,0.26856713935915477,0.45748134897575243,0.132232196884281,0.0002900832244325381,0.0002897924277457624,0.00031509999999999996,True,True,True
simMed_test.mat,0.001,105,0.6957533928816516,0.5737358691905577,0.35694212605591935,0.6488084401825713,0.12201752369109387,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,True
simMed_test.mat,0.003,105,0.8138666025670929,0.6815062857400209,0.4673269223287094,0.7763674110573479,0.13236031682707194,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,True
simMed_test.mat,0.01,105,0.8692331860864192,0.7949058180627155,0.6340198282838332,0.8382638287231589,0.07432736802370365,0.009992820396478946,0.009992820396478995,0.0105001,True,True,True
simWind_test.mat,1e-05,105,0.18451921564993898,0.07703966458433695,0.08157103884127036,0.10406778999802847,0.10747955106560203,0.0,0.0,1.0600000000000002e-05,True,True,True
simWind_test.mat,3e-05,105,0.23871466421913762,0.11862477296429916,0.1271299821677295,0.16375806478384897,0.12008989125483846,1.526753812803079e-05,1.4685924756918877e-05,3.16e-05,True,True,True
simWind_test.mat,0.0001,105,0.37324521082765943,0.2437163886124177,0.21430520549964135,0.31075641617749705,0.12952882221524173,9.160522876818475e-05,9.073263663727613e-05,0.00010510000000000001,True,True,True
simWind_test.mat,0.0003,105,0.5368152651851739,0.4004431397158868,0.2932267184715584,0.486945497023541,0.13637212546928706,0.0002900832244325381,0.00028979232115972444,0.00031509999999999996,True,True,True
simWind_test.mat,0.001,105,0.709979513423963,0.6015133839964176,0.397208550062243,0.6696725698476255,0.10846612942754541,0.0009923899783219551,0.0009923899783220015,0.0010501000000000002,True,True,True
simWind_test.mat,0.003,105,0.8122135397335509,0.7155698085300344,0.5055982782592047,0.7791822124386073,0.09664373120351655,0.0029924374730939812,0.002992437473094035,0.0031501,True,True,True
simWind_test.mat,0.01,105,0.8663473290962684,0.8215574083746444,0.6761250342301373,0.8393465413357233,0.04478992072162402,0.009992820396478946,0.009992820396478995,0.0105001,True,True,True
