pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
1e-05,0.9997256274664175,0.3023255813953488,0.0,43,65493,0,0,13,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996137560725883,0.4883720930232558,1.526880735345762e-05,43,65493,1,1,22,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9975414329633825,0.8372093023255814,9.161284412074573e-05,43,65493,6,6,42,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9911340851771336,0.8837209302325582,0.0002901073397156948,43,65493,19,19,57,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.895893695105766,0.9534883720930233,0.0009924724779747454,43,65493,65,65,106,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7725104292758186,0.9534883720930233,0.0029926862412776936,43,65493,196,196,237,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.39943395939565085,0.9767441860465116,0.009985800009161284,43,65493,654,654,696,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,0,simWind_test.mat#0,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9995507552181152,0.35714285714285715,0.0,28,65508,0,0,10,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9994988973514018,0.39285714285714285,1.526531110704036e-05,28,65508,1,1,12,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9974553581694199,0.5714285714285714,9.159186664224217e-05,28,65508,6,6,22,loso_supervised_tpsscs_feature_hgb_conservative_topk_strict_gt,simWind_test.mat,3,simWind_test.mat#3,loso_supervised_tpsscs_feature_hgb,learned_tpsscs_feature_ensemble,simMed_test.mat,simWind_test.mat
