asset,pfa,n_items,tpsscs_feature_hgb_pd,raw_residual_hgb_pd,compact_tpsscs_pd,delta_vs_raw_residual_hgb,delta_vs_compact_tpsscs,tpsscs_feature_hgb_empirical_pfa,raw_residual_hgb_empirical_pfa,compact_tpsscs_empirical_pfa,pfa_ceiling,tpsscs_feature_hgb_pfa_calibrated,beats_raw_residual_hgb,beats_or_ties_raw_residual_hgb,beats_compact_tpsscs
combined,1e-05,210,0.33956300666467004,0.3052389648085349,0.18453205303478548,0.034324041856135135,0.15503095362988456,0.0,0.0,0.0,1.0600000000000002e-05,True,True,True,True
combined,3e-05,210,0.45003930681736803,0.4108692747037829,0.23582166376780267,0.03917003211358511,0.21421764304956536,1.526753812803079e-05,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,True,True
combined,0.0001,210,0.6557653510003794,0.6557634358343455,0.36818669979187413,1.9151660338723175e-06,0.28757865120850523,9.160522876818475e-05,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,True,True,True
combined,0.0003,210,0.7825894724701776,0.7833166357911929,0.5261399631103596,-0.0007271633210153006,0.25644950935981803,0.00029008322443258505,0.0002900832244325381,0.0002900832244325381,0.00031509999999999996,True,False,False,True
combined,0.001,210,0.8775955863796955,0.8706692826770271,0.7028664531528073,0.006926303702668335,0.1747291332268882,0.0009923899783220015,0.0009923899783219551,0.0009923899783219551,0.0010501000000000002,True,True,True,True
combined,0.003,210,0.9281197809408029,0.9242599971080541,0.813040071150322,0.0038597838327488754,0.11507970979048099,0.002992437473094035,0.0029924374730939812,0.0029924374730939812,0.0031501,True,True,True,True
combined,0.01,210,0.964886192505268,0.9621921611499239,0.8677902575913439,0.002694031355344073,0.0970959349139241,0.009992820396478995,0.009992820396478946,0.009992820396478946,0.0105001,True,True,True,True
simMed_test.mat,1e-05,105,0.336385793975421,0.30997323789699655,0.184544890419632,0.026412556078424465,0.151840903555789,0.0,0.0,0.0,1.0600000000000002e-05,True,True,True,True
simMed_test.mat,3e-05,105,0.4473060379590896,0.42352101913274715,0.23292866331646775,0.02378501882634243,0.21437737464262183,1.526753812803079e-05,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,True,True
simMed_test.mat,0.0001,105,0.6455775024080389,0.658142105428601,0.3631281887560889,-0.01256460302056206,0.28244931365195003,9.160522876818475e-05,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,False,False,True
simMed_test.mat,0.0003,105,0.7772793759936779,0.7840881539845214,0.5154646610355453,-0.006808777990843451,0.2618147149581326,0.00029008322443258505,0.0002900832244325381,0.0002900832244325381,0.00031509999999999996,True,False,False,True
simMed_test.mat,0.001,105,0.8742825558403454,0.863425762640269,0.6957533928816516,0.010856793200076376,0.1785291629586938,0.0009923899783220015,0.0009923899783219551,0.0009923899783219551,0.0010501000000000002,True,True,True,True
simMed_test.mat,0.003,105,0.9308097757394866,0.9220799853032243,0.8138666025670929,0.008729790436262319,0.11694317317239378,0.002992437473094035,0.0029924374730939812,0.0029924374730939812,0.0031501,True,True,True,True
simMed_test.mat,0.01,105,0.9660531235212932,0.9625550644068653,0.8692331860864192,0.0034980591144279094,0.09681993743487405,0.009992820396478995,0.009992820396478946,0.009992820396478946,0.0105001,True,True,True,True
simWind_test.mat,1e-05,105,0.342740219353919,0.30050469172007327,0.18451921564993898,0.04223552763384575,0.15822100370398004,0.0,0.0,0.0,1.0600000000000002e-05,True,True,True,True
simWind_test.mat,3e-05,105,0.45277257567564655,0.3982175302748188,0.23871466421913762,0.05455504540082773,0.21405791145650893,1.526753812803079e-05,1.526753812803079e-05,1.526753812803079e-05,3.16e-05,True,True,True,True
simWind_test.mat,0.0001,105,0.6659531995927198,0.65338476624009,0.37324521082765943,0.012568433352629804,0.2927079887650604,9.160522876818475e-05,9.160522876818475e-05,9.160522876818475e-05,0.00010510000000000001,True,True,True,True
simWind_test.mat,0.0003,105,0.7878995689466773,0.7825451175978645,0.5368152651851739,0.00535445134881285,0.2510843037615035,0.00029008322443258505,0.0002900832244325381,0.0002900832244325381,0.00031509999999999996,True,True,True,True
simWind_test.mat,0.001,105,0.8809086169190457,0.877912802713785,0.709979513423963,0.0029958142052606274,0.1709291034950826,0.0009923899783220015,0.0009923899783219551,0.0009923899783219551,0.0010501000000000002,True,True,True,True
simWind_test.mat,0.003,105,0.9254297861421193,0.9264400089128838,0.8122135397335509,-0.0010102227707644573,0.11321624640856842,0.002992437473094035,0.0029924374730939812,0.0029924374730939812,0.0031501,True,False,False,True
simWind_test.mat,0.01,105,0.9637192614892425,0.9618292578929826,0.8663473290962684,0.0018900035962599038,0.09737193239297404,0.009992820396478995,0.009992820396478946,0.009992820396478946,0.0105001,True,True,True,True
