asset,comparator,pfa_target,n_items,wins,ties,losses,nonzero_pairs,win_fraction,nonnegative_fraction,loss_fraction,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,significant_bh_0p05
combined,low_rank_residual_k30,1e-05,210,195,15,0,195,0.9285714285714286,1.0,0.0,0.08307135246178571,0.0714690867838911,0.0,0.0,0.2666666666666667,1.0,1.9913648889155653e-59,8.363732533445374e-58,True
combined,low_rank_residual_k30,3e-05,210,191,19,0,191,0.9095238095238095,1.0,0.0,0.07876762064069345,0.0666666666666667,0.0,0.0,0.2666666666666666,1.0,3.1861838222649046e-58,6.6909860267563e-57,True
combined,low_rank_residual_k30,0.0001,210,182,28,0,182,0.8666666666666667,1.0,0.0,0.06561562998427183,0.051315789473684204,0.0,0.0,0.2666666666666666,1.0,1.6313261169996311e-55,1.7128924228496127e-54,True
combined,low_rank_residual_k30,0.0003,210,154,56,0,154,0.7333333333333333,1.0,0.0,0.05392654011071287,0.04,0.0,0.0,0.2666666666666666,1.0,4.3790577010150533e-47,2.299005293032903e-46,True
combined,low_rank_residual_k30,0.001,210,127,83,0,127,0.6047619047619047,1.0,0.0,0.04362594813770894,0.03102453102453095,0.0,0.0,0.2666666666666666,1.0,5.877471754111438e-39,2.244125578842549e-38,True
combined,low_rank_residual_k30,0.003,210,109,101,0,109,0.5190476190476191,1.0,0.0,0.03526525940234435,0.01694915254237285,0.0,0.0,0.2666666666666666,1.0,1.5407439555097887e-33,4.977788163954702e-33,True
combined,low_rank_residual_k30,0.01,210,96,114,0,96,0.45714285714285713,1.0,0.0,0.028985072561902782,0.0,0.0,0.0,0.2666666666666666,1.0,1.262177448353619e-29,2.945080712825111e-29,True
combined,raw,1e-05,210,188,18,4,192,0.8952380952380953,0.9809523809523809,0.01904761904761905,0.10458096223315756,0.08850250626566415,0.0,-0.12,0.3529411764705882,0.9583333333333334,8.929326202253627e-51,5.357595721352176e-50,True
combined,raw,3e-05,210,187,9,14,201,0.8904761904761904,0.9333333333333333,0.06666666666666667,0.11480940579359328,0.1071428571428572,-0.04266304347826093,-0.1612903225806451,0.4000000000000001,0.8606965174129353,4.261157658078178e-40,1.7896862163928344e-39,True
combined,raw,0.0001,210,188,9,13,201,0.8952380952380953,0.9380952380952381,0.06190476190476191,0.16325252170296725,0.16064516129032255,-0.03415898617511518,-0.1,0.5384615384615385,0.8706467661691543,3.1539791668671114e-41,1.4718569445379853e-40,True
combined,raw,0.0003,210,200,5,5,205,0.9523809523809523,0.9761904761904762,0.023809523809523808,0.24524303419500298,0.22902097902097895,0.0454545454545453,-0.15,0.7692307692307694,0.9512195121951219,5.727697822814494e-53,4.009388475970146e-52,True
combined,raw,0.001,210,205,2,3,208,0.9761904761904762,0.9857142857142858,0.014285714285714285,0.32579111509372616,0.3247518610421837,0.05554711246200614,-0.2,0.84,0.9711538461538461,3.6462809983143623e-57,5.104793397640107e-56,True
combined,raw,0.003,210,198,9,3,201,0.9428571428571428,0.9857142857142858,0.014285714285714285,0.32657747085636485,0.33045977011494254,0.0,-0.1034482758620689,0.6799999999999999,0.9701492537313433,4.2117429630716986e-55,3.537864088980227e-54,True
combined,raw,0.01,210,188,3,19,207,0.8952380952380953,0.9095238095238095,0.09047619047619047,0.2127178263343585,0.20454545454545445,-0.060812390414961906,-0.2142857142857143,0.5925925925925926,0.8164251207729468,1.9093285496418127e-36,6.682649923746344e-36,True
simMed_test.mat,low_rank_residual_k30,1e-05,105,99,6,0,99,0.9428571428571428,1.0,0.0,0.0856912792716609,0.0769230769230769,0.003389830508474563,0.0,0.2666666666666667,1.0,1.5777218104420236e-30,4.733165431326071e-30,True
simMed_test.mat,low_rank_residual_k30,3e-05,105,97,8,0,97,0.9238095238095239,1.0,0.0,0.08257864184609828,0.0754716981132075,0.0,0.0,0.2666666666666666,1.0,6.310887241768095e-30,1.6566079009641248e-29,True
simMed_test.mat,low_rank_residual_k30,0.0001,105,94,11,0,94,0.8952380952380953,1.0,0.0,0.06874246531838127,0.054054054054054,0.0,0.0,0.2666666666666666,1.0,5.048709793414476e-29,1.0097419586828951e-28,True
simMed_test.mat,low_rank_residual_k30,0.0003,105,83,22,0,83,0.7904761904761904,1.0,0.0,0.05798331205979289,0.0416666666666667,0.0,0.0,0.2666666666666666,1.0,1.0339757656912846e-25,1.550963648536927e-25,True
simMed_test.mat,low_rank_residual_k30,0.001,105,67,38,0,67,0.638095238095238,1.0,0.0,0.04694495269908023,0.0344827586206896,0.0,0.0,0.2666666666666666,1.0,6.776263578034403e-21,8.624335462952876e-21,True
simMed_test.mat,low_rank_residual_k30,0.003,105,55,50,0,55,0.5238095238095238,1.0,0.0,0.03749919150974495,0.0169491525423729,0.0,0.0,0.2666666666666666,1.0,2.7755575615628914e-17,2.9890619893754213e-17,True
simMed_test.mat,low_rank_residual_k30,0.01,105,49,56,0,49,0.4666666666666667,1.0,0.0,0.030969357363260355,0.0,0.0,0.0,0.2666666666666666,1.0,1.7763568394002505e-15,1.8196826159709883e-15,True
simMed_test.mat,raw,1e-05,105,93,10,2,95,0.8857142857142857,0.9809523809523809,0.01904761904761905,0.10621374765764652,0.0909090909090908,0.0,-0.12,0.3333333333333334,0.9578947368421052,1.1513582683881712e-25,1.66748438870011e-25,True
simMed_test.mat,raw,3e-05,105,98,2,5,103,0.9333333333333333,0.9523809523809523,0.047619047619047616,0.11803412953577848,0.1063829787234041,0.0,-0.0740740740740741,0.4000000000000001,0.9029126213592233,9.086171692677989e-24,1.2720640369749185e-23,True
simMed_test.mat,raw,0.0001,105,95,5,5,100,0.9047619047619048,0.9523809523809523,0.047619047619047616,0.16756503807791637,0.163265306122449,0.0,-0.0833333333333334,0.5384615384615385,0.9,6.26162256269268e-23,8.483488633325566e-23,True
simMed_test.mat,raw,0.0003,105,99,3,3,102,0.9428571428571428,0.9714285714285714,0.02857142857142857,0.24689752167639054,0.2241379310344826,0.009090909090909068,-0.15,0.64,0.9411764705882353,3.489802315561973e-26,5.428581379763069e-26,True
simMed_test.mat,raw,0.001,105,103,1,1,104,0.9809523809523809,0.9904761904761905,0.009523809523809525,0.33881126682573215,0.3461538461538462,0.08405797101449272,-0.2,0.72,0.9807692307692307,5.17689969051289e-30,1.4495319133436092e-29,True
simMed_test.mat,raw,0.003,105,100,4,1,101,0.9523809523809523,0.9904761904761905,0.009523809523809525,0.34653968023838333,0.3650793650793651,0.040225988700564944,-0.1,0.6799999999999999,0.9801980198019802,4.02319061662716e-29,8.893368731491618e-29,True
simMed_test.mat,raw,0.01,105,93,2,10,103,0.8857142857142857,0.9047619047619048,0.09523809523809523,0.23521335780258598,0.2333333333333335,-0.06350574712643667,-0.2142857142857143,0.5925925925925926,0.8058252427184466,2.5993049519088795e-18,2.950562377842512e-18,True
simWind_test.mat,low_rank_residual_k30,1e-05,105,96,9,0,96,0.9142857142857143,1.0,0.0,0.08045142565191049,0.0666666666666667,0.0,0.0,0.2432432432432432,1.0,1.262177448353619e-29,2.945080712825111e-29,True
simWind_test.mat,low_rank_residual_k30,3e-05,105,94,11,0,94,0.8952380952380953,1.0,0.0,0.07495659943528861,0.0634920634920634,0.0,0.0,0.2432432432432432,1.0,5.048709793414476e-29,1.0097419586828951e-28,True
simWind_test.mat,low_rank_residual_k30,0.0001,105,88,17,0,88,0.8380952380952381,1.0,0.0,0.062488794650162376,0.0476190476190476,0.0,0.0,0.24,1.0,3.2311742677852644e-27,5.6545549686242126e-27,True
simWind_test.mat,low_rank_residual_k30,0.0003,105,71,34,0,71,0.6761904761904762,1.0,0.0,0.049869768161632855,0.0363636363636362,0.0,0.0,0.24,1.0,4.235164736271502e-22,5.558653716356346e-22,True
simWind_test.mat,low_rank_residual_k30,0.001,105,60,45,0,60,0.5714285714285714,1.0,0.0,0.040306943576337635,0.027027027027027,0.0,0.0,0.2,1.0,8.673617379884035e-19,1.0119220276531375e-18,True
simWind_test.mat,low_rank_residual_k30,0.003,105,54,51,0,54,0.5142857142857142,1.0,0.0,0.03303132729494375,0.0169491525423728,0.0,0.0,0.1999999999999999,1.0,5.551115123125783e-17,5.828670879282072e-17,True
