seed,asset,pfa,target_method,lowrank_method,n_items,target_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,target_empirical_pfa,pfa_ceiling,pfa_calibrated,beats_raw,beats_lowrank
7,combined,1e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.18453205303478548,0.07995109080162792,0.10146070057299977,0.10458096223315756,0.08307135246178571,0.0,1.0600000000000002e-05,True,True,True
7,combined,3e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.23582166376780267,0.12101225797420938,0.1570540431271092,0.11480940579359329,0.07876762064069348,1.526753812803079e-05,3.16e-05,True,True,True
7,combined,0.0001,tpsscs_finished_detector,low_rank_residual_k30,210,0.36818669979187413,0.20493417808890693,0.30257106980760234,0.1632525217029672,0.06561562998427178,9.160522876818475e-05,0.00010510000000000001,True,True,True
7,combined,0.0003,tpsscs_finished_detector,low_rank_residual_k30,210,0.5261399631103596,0.2808969289153566,0.4722134229996467,0.24524303419500298,0.053926540110712906,0.0002900832244325381,0.00031509999999999996,True,True,True
7,combined,0.001,tpsscs_finished_detector,low_rank_residual_k30,210,0.7028664531528073,0.37707533805908117,0.6592405050150983,0.3257911150937261,0.043625948137708925,0.0009923899783219551,0.0010501000000000002,True,True,True
7,combined,0.003,tpsscs_finished_detector,low_rank_residual_k30,210,0.813040071150322,0.48646260029395705,0.7777748117479776,0.3265774708563649,0.03526525940234437,0.0029924374730939812,0.0031501,True,True,True
7,combined,0.01,tpsscs_finished_detector,low_rank_residual_k30,210,0.8677902575913439,0.6550724312569852,0.8388051850294409,0.21271782633435865,0.02898507256190297,0.009992820396478946,0.0105001,True,True,True
7,simMed_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.184544890419632,0.07833114276198547,0.09885361114797109,0.10621374765764655,0.08569127927166093,0.0,1.0600000000000002e-05,True,True,True
7,simMed_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23292866331646775,0.11489453378068923,0.1503500214703694,0.11803412953577852,0.08257864184609834,1.526753812803079e-05,3.16e-05,True,True,True
7,simMed_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.3631281887560889,0.1955631506781725,0.2943857234377076,0.16756503807791637,0.0687424653183813,9.160522876818475e-05,0.00010510000000000001,True,True,True
7,simMed_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5154646610355453,0.26856713935915477,0.45748134897575243,0.24689752167639056,0.0579833120597929,0.0002900832244325381,0.00031509999999999996,True,True,True
7,simMed_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.6957533928816516,0.35694212605591935,0.6488084401825713,0.33881126682573226,0.04694495269908028,0.0009923899783219551,0.0010501000000000002,True,True,True
7,simMed_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8138666025670929,0.4673269223287094,0.7763674110573479,0.34653968023838344,0.03749919150974501,0.0029924374730939812,0.0031501,True,True,True
7,simMed_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8692331860864192,0.6340198282838332,0.8382638287231589,0.235213357802586,0.03096935736326034,0.009992820396478946,0.0105001,True,True,True
7,simWind_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18451921564993898,0.08157103884127036,0.10406778999802847,0.10294817680866862,0.0804514256519105,0.0,1.0600000000000002e-05,True,True,True
7,simWind_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23871466421913762,0.1271299821677295,0.16375806478384897,0.11158468205140812,0.07495659943528865,1.526753812803079e-05,3.16e-05,True,True,True
7,simWind_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.37324521082765943,0.21430520549964135,0.31075641617749705,0.15894000532801808,0.06248879465016238,9.160522876818475e-05,0.00010510000000000001,True,True,True
7,simWind_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5368152651851739,0.2932267184715584,0.486945497023541,0.24358854671361546,0.049869768161632855,0.0002900832244325381,0.00031509999999999996,True,True,True
7,simWind_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.709979513423963,0.397208550062243,0.6696725698476255,0.31277096336172006,0.04030694357633757,0.0009923899783219551,0.0010501000000000002,True,True,True
7,simWind_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8122135397335509,0.5055982782592047,0.7791822124386073,0.30661526147434626,0.033031327294943624,0.0029924374730939812,0.0031501,True,True,True
7,simWind_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8663473290962684,0.6761250342301373,0.8393465413357233,0.19022229486613118,0.027000787760545153,0.009992820396478946,0.0105001,True,True,True
11,combined,1e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.18320307113445108,0.07995109080162792,0.10146070057299977,0.10325198033282317,0.08174237056145131,0.0,1.0600000000000002e-05,True,True,True
11,combined,3e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.2360087781398708,0.12101225797420938,0.1570540431271092,0.11499652016566143,0.07895473501276162,1.526753812803079e-05,3.16e-05,True,True,True
11,combined,0.0001,tpsscs_finished_detector,low_rank_residual_k30,210,0.37236847344846385,0.20493417808890693,0.30257106980760234,0.16743429535955692,0.06979740364086151,9.160522876818475e-05,0.00010510000000000001,True,True,True
11,combined,0.0003,tpsscs_finished_detector,low_rank_residual_k30,210,0.5312340834036158,0.2808969289153566,0.4722134229996467,0.25033715448825916,0.05902066040396908,0.0002900832244325381,0.00031509999999999996,True,True,True
11,combined,0.001,tpsscs_finished_detector,low_rank_residual_k30,210,0.7083346854544508,0.37707533805908117,0.6592405050150983,0.3312593473953696,0.04909418043935243,0.0009923899783219551,0.0010501000000000002,True,True,True
11,combined,0.003,tpsscs_finished_detector,low_rank_residual_k30,210,0.818342426508629,0.48646260029395705,0.7777748117479776,0.33187982621467194,0.040567614760651405,0.0029924374730939812,0.0031501,True,True,True
11,combined,0.01,tpsscs_finished_detector,low_rank_residual_k30,210,0.8717303530078487,0.6550724312569852,0.8388051850294409,0.2166579217508635,0.03292516797840783,0.009992820396478946,0.0105001,True,True,True
11,simMed_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18461859751477078,0.07833114276198547,0.09885361114797109,0.10628745475278531,0.08576498636679969,0.0,1.0600000000000002e-05,True,True,True
11,simMed_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23360052821451754,0.11489453378068923,0.1503500214703694,0.11870599443382832,0.08325050674414813,1.526753812803079e-05,3.16e-05,True,True,True
11,simMed_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.36870339227984117,0.1955631506781725,0.2943857234377076,0.17314024160166866,0.07431766884213359,9.160522876818475e-05,0.00010510000000000001,True,True,True
11,simMed_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5218980522973241,0.26856713935915477,0.45748134897575243,0.25333091293816934,0.06441670332157168,0.0002900832244325381,0.00031509999999999996,True,True,True
11,simMed_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.7024829065717889,0.35694212605591935,0.6488084401825713,0.34554078051586956,0.05367446638921758,0.0009923899783219551,0.0010501000000000002,True,True,True
11,simMed_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8213373429221229,0.4673269223287094,0.7763674110573479,0.3540104205934135,0.04496993186477505,0.0029924374730939812,0.0031501,True,True,True
11,simMed_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.875216054758735,0.6340198282838332,0.8382638287231589,0.2411962264749018,0.03695222603557613,0.009992820396478946,0.0105001,True,True,True
11,simWind_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18178754475413142,0.08157103884127036,0.10406778999802847,0.10021650591286106,0.07771975475610295,0.0,1.0600000000000002e-05,True,True,True
11,simWind_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.2384170280652241,0.1271299821677295,0.16375806478384897,0.11128704589749461,0.07465896328137514,1.526753812803079e-05,3.16e-05,True,True,True
11,simWind_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.37603355461708654,0.21430520549964135,0.31075641617749705,0.16172834911744519,0.06527713843958949,9.160522876818475e-05,0.00010510000000000001,True,True,True
11,simWind_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5405701145099076,0.2932267184715584,0.486945497023541,0.24734339603834915,0.053624617486366544,0.0002900832244325381,0.00031509999999999996,True,True,True
11,simWind_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.7141864643371124,0.397208550062243,0.6696725698476255,0.31697791427486943,0.04451389448948695,0.0009923899783219551,0.0010501000000000002,True,True,True
11,simWind_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8153475100951351,0.5055982782592047,0.7791822124386073,0.3097492318359304,0.03616529765652776,0.0029924374730939812,0.0031501,True,True,True
11,simWind_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8682446512569625,0.6761250342301373,0.8393465413357233,0.19211961702682523,0.0288981099212392,0.009992820396478946,0.0105001,True,True,True
23,combined,1e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.18786455795675058,0.07995109080162792,0.10146070057299977,0.10791346715512266,0.08640385738375081,0.0,1.0600000000000002e-05,True,True,True
23,combined,3e-05,tpsscs_finished_detector,low_rank_residual_k30,210,0.23871521215304023,0.12101225797420938,0.1570540431271092,0.11770295417883085,0.08166116902593104,1.526753812803079e-05,3.16e-05,True,True,True
23,combined,0.0001,tpsscs_finished_detector,low_rank_residual_k30,210,0.36911999437798215,0.20493417808890693,0.30257106980760234,0.16418581628907522,0.06654892457037981,9.160522876818475e-05,0.00010510000000000001,True,True,True
23,combined,0.0003,tpsscs_finished_detector,low_rank_residual_k30,210,0.5259111738527719,0.2808969289153566,0.4722134229996467,0.24501424493741525,0.05369775085312517,0.0002900832244325381,0.00031509999999999996,True,True,True
23,combined,0.001,tpsscs_finished_detector,low_rank_residual_k30,210,0.7009987281901641,0.37707533805908117,0.6592405050150983,0.3239233901310829,0.04175822317506572,0.0009923899783219551,0.0010501000000000002,True,True,True
23,combined,0.003,tpsscs_finished_detector,low_rank_residual_k30,210,0.8104420656962736,0.48646260029395705,0.7777748117479776,0.3239794654023166,0.03266725394829606,0.0029924374730939812,0.0031501,True,True,True
23,combined,0.01,tpsscs_finished_detector,low_rank_residual_k30,210,0.8640398197772722,0.6550724312569852,0.8388051850294409,0.20896738852028696,0.025234634747831275,0.009992820396478946,0.0105001,True,True,True
23,simMed_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18744604562184491,0.07833114276198547,0.09885361114797109,0.10911490285985945,0.08859243447387383,0.0,1.0600000000000002e-05,True,True,True
23,simMed_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.23460556129442342,0.11489453378068923,0.1503500214703694,0.11971102751373419,0.08425553982405401,1.526753812803079e-05,3.16e-05,True,True,True
23,simMed_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.36336397046502067,0.1955631506781725,0.2943857234377076,0.16780081978684816,0.06897824702731309,9.160522876818475e-05,0.00010510000000000001,True,True,True
23,simMed_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5133841288945133,0.26856713935915477,0.45748134897575243,0.24481698953535858,0.055902779918760914,0.0002900832244325381,0.00031509999999999996,True,True,True
23,simMed_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.6922106918956554,0.35694212605591935,0.6488084401825713,0.3352685658397361,0.043402251713084095,0.0009923899783219551,0.0010501000000000002,True,True,True
23,simMed_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.810391574362055,0.4673269223287094,0.7763674110573479,0.3430646520333456,0.034024163304707145,0.0029924374730939812,0.0031501,True,True,True
23,simMed_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8651995619733825,0.6340198282838332,0.8382638287231589,0.23117973368954936,0.026935733250223692,0.009992820396478946,0.0105001,True,True,True
23,simWind_test.mat,1e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.18828307029165625,0.08157103884127036,0.10406778999802847,0.1067120314503859,0.08421528029362778,0.0,1.0600000000000002e-05,True,True,True
23,simWind_test.mat,3e-05,tpsscs_finished_detector,low_rank_residual_k30,105,0.242824863011657,0.1271299821677295,0.16375806478384897,0.11569488084392751,0.07906679822780804,1.526753812803079e-05,3.16e-05,True,True,True
23,simWind_test.mat,0.0001,tpsscs_finished_detector,low_rank_residual_k30,105,0.37487601829094375,0.21430520549964135,0.31075641617749705,0.1605708127913024,0.0641196021134467,9.160522876818475e-05,0.00010510000000000001,True,True,True
23,simWind_test.mat,0.0003,tpsscs_finished_detector,low_rank_residual_k30,105,0.5384382188110304,0.2932267184715584,0.486945497023541,0.24521150033947198,0.05149272178748937,0.0002900832244325381,0.00031509999999999996,True,True,True
23,simWind_test.mat,0.001,tpsscs_finished_detector,low_rank_residual_k30,105,0.7097867644846727,0.397208550062243,0.6696725698476255,0.3125782144224297,0.04011419463704724,0.0009923899783219551,0.0010501000000000002,True,True,True
23,simWind_test.mat,0.003,tpsscs_finished_detector,low_rank_residual_k30,105,0.8104925570304921,0.5055982782592047,0.7791822124386073,0.3048942787712874,0.03131034459188475,0.0029924374730939812,0.0031501,True,True,True
23,simWind_test.mat,0.01,tpsscs_finished_detector,low_rank_residual_k30,105,0.8628800775811619,0.6761250342301373,0.8393465413357233,0.18675504335102466,0.023533536245438635,0.009992820396478946,0.0105001,True,True,True
